name,position,college,draft_year,ras,metrics_used,forty,vertical,broad_jump,shuttle,cone,bench,ht_inches,wt_lbs,pfr_id,source
Shaun Alexander,RB,Alabama,2000,5.87,3,4.58,,,,,,72.0,218.0,AlexSh00,nflverse-combine-derived
Kyle Allamon,TE,Texas Tech,2000,3.29,7,4.97,29.0,104.0,4.49,7.29,,74.0,253.0,,nflverse-combine-derived
Anthony Becht,TE,West Virginia,2000,6.44,7,4.78,33.5,123.0,4.08,6.94,,78.0,270.0,BechAn00,nflverse-combine-derived
Tom Brady,QB,Michigan,2000,3.34,7,5.28,24.5,99.0,4.38,7.2,,76.0,211.0,BradTo00,nflverse-combine-derived
Keith Brown,RB,UCLA,2000,5.71,7,4.66,30.0,117.0,4.08,6.64,,71.0,216.0,,nflverse-combine-derived
Demario Brown,RB,Utah State,2000,4.65,7,4.72,31.0,107.0,4.39,7.17,,72.0,217.0,,nflverse-combine-derived
Travis Brown,QB,Northern Arizona,2000,2.99,7,5.01,29.0,101.0,4.87,7.54,,75.0,218.0,BrowTr01,nflverse-combine-derived
Marc Bulger,QB,West Virginia,2000,3.58,6,4.97,,100.0,4.34,7.46,,74.0,208.0,BulgMa00,nflverse-combine-derived
Bill Burke,QB,Michigan State,2000,3.82,7,5.03,28.5,107.0,4.42,7.46,,76.0,206.0,,nflverse-combine-derived
Plaxico Burress,WR,Michigan State,2000,5.65,5,4.59,33.0,115.0,,,,77.0,231.0,BurrPl00,nflverse-combine-derived
Trung Canidate,RB,Arizona,2000,5.08,4,4.41,,,,,18.0,71.0,193.0,CaniTr00,nflverse-combine-derived
Giovanni Carmazzi,QB,Hofstra,2000,6.05,7,4.74,36.5,119.0,4.23,6.94,,75.0,224.0,,nflverse-combine-derived
Kwame Cavil,WR,Texas,2000,5.66,5,4.54,39.5,118.0,,,,74.0,208.0,CaviKw00,nflverse-combine-derived
Chris Chaloupka,QB,SMU,2000,3.81,3,4.96,,,,,,74.0,216.0,,nflverse-combine-derived
Doug Chapman,RB,Marshall,2000,6.12,8,4.56,38.5,128.0,4.2,6.84,16.0,70.0,215.0,ChapDo00,nflverse-combine-derived
Chrys Chukwuma,RB,Arkansas,2000,6.08,4,4.56,,115.0,,,,73.0,232.0,,nflverse-combine-derived
Chris Cole,WR,Texas A&M,2000,6.09,7,4.37,37.5,125.0,4.09,6.76,,72.0,191.0,ColeCh00,nflverse-combine-derived
Chris Coleman,WR,North Carolina State,2000,4.89,7,4.61,32.5,110.0,4.1,6.79,,72.0,211.0,ColeCh01,nflverse-combine-derived
Laveranues Coles,WR,Florida State,2000,4.74,7,4.41,34.0,115.0,4.39,6.89,,71.0,192.0,ColeLa00,nflverse-combine-derived
Casey Crawford,TE,Virginia,2000,4.64,4,4.83,,,,,18.0,78.0,244.0,CrawCa00,nflverse-combine-derived
Chris Daniels,WR,Purdue,2000,4.63,7,4.74,33.0,115.0,4.24,7.2,,75.0,217.0,,nflverse-combine-derived
Brandon Daniels,WR,Oklahoma,2000,5.01,3,4.54,,,,,,70.0,211.0,,nflverse-combine-derived
Joe Dean Davenport,TE,Arkansas,2000,3.96,8,5.06,30.0,108.0,4.67,7.33,13.0,79.0,268.0,,nflverse-combine-derived
Darren Davis,RB,Iowa State,2000,3.67,8,4.81,32.0,109.0,4.47,7.04,13.0,68.0,189.0,,nflverse-combine-derived
JaJuan Dawson,WR,Tulane,2000,5.07,7,4.55,34.0,117.0,4.16,6.96,,73.0,199.0,DawsJa00,nflverse-combine-derived
Ron Dayne,RB,Wisconsin,2000,6.56,3,4.65,,,,,,71.0,259.0,DaynRo00,nflverse-combine-derived
Reuben Droughns,RB,Oregon,2000,4.39,8,4.66,30.0,115.0,4.41,7.34,13.0,71.0,215.0,DrouRe00,nflverse-combine-derived
Ron Dugans,WR,Florida State,2000,4.97,4,4.58,,117.0,,,,73.0,206.0,DugaRo00,nflverse-combine-derived
Deon Dyer,RB,North Carolina,2000,3.23,7,4.99,28.0,104.0,4.81,7.88,,71.0,260.0,DyerDe00,nflverse-combine-derived
Matt Farmer,WR,Air Force,2000,5.15,7,4.51,33.0,108.0,3.94,6.63,,72.0,190.0,,nflverse-combine-derived
Danny Farmer,WR,UCLA,2000,6.28,3,4.58,,,,,,75.0,217.0,FarmDa00,nflverse-combine-derived
Kevin Feterik,QB,BYU,2000,3.52,7,4.92,31.0,106.0,4.45,7.3,,71.0,207.0,,nflverse-combine-derived
Chafie Fields,WR,Penn State,2000,5.84,3,4.43,,,,,,73.0,196.0,,nflverse-combine-derived
Zeron Flemister,TE,Iowa,2000,5.55,8,4.72,37.0,116.0,4.16,6.92,14.0,76.0,249.0,FlemZe00,nflverse-combine-derived
Derrick Foster,RB,Texas A&M-Kingsville,2000,5.51,8,4.43,34.5,117.0,4.36,6.84,19.0,71.0,201.0,,nflverse-combine-derived
Larry Foster,WR,LSU,2000,5.31,7,4.55,37.0,121.0,4.06,6.88,,70.0,198.0,FostLa00,nflverse-combine-derived
Bubba Franks,TE,Miami (FL),2000,5.18,3,4.85,,,,,,78.0,265.0,FranBu00,nflverse-combine-derived
Mondriel Fulcher,RB,Miami (FL),2000,4.84,8,4.85,27.0,116.0,4.52,7.46,18.0,75.0,253.0,FulcMo20,nflverse-combine-derived
Jason Gavadza,TE,Kent State,2000,5.12,8,4.62,32.5,113.0,4.3,7.15,22.0,75.0,249.0,,nflverse-combine-derived
Trevor Gaylor,WR,Miami (OH),2000,5.41,7,4.56,37.5,121.0,4.29,7.03,,75.0,199.0,GaylTr00,nflverse-combine-derived
Sherrod Gideon,WR,Southern Miss,2000,3.34,3,4.66,,,,,,71.0,173.0,,nflverse-combine-derived
Mike Green,RB,Houston,2000,5.17,8,4.78,28.5,108.0,4.34,7.08,25.0,72.0,253.0,GreeMi00,nflverse-combine-derived
Ricky Hall,WR,Virginia Tech,2000,5.97,3,4.52,,,,,,74.0,206.0,,nflverse-combine-derived
Dante' Hall,RB,Texas A&M,2000,6.26,8,4.44,38.0,123.0,3.82,6.62,18.0,68.0,191.0,,nflverse-combine-derived
Troy Hambrick,RB,South Carolina,2000,5.34,8,4.66,34.5,118.0,4.44,7.48,21.0,72.0,237.0,HambTr00,nflverse-combine-derived
Joey Hamilton,WR,Jacksonville State,2000,4.26,7,4.54,36.0,116.0,4.41,7.57,,73.0,201.0,,nflverse-combine-derived
Joe Hamilton,QB,Georgia Tech,2000,2.47,4,4.81,,106.0,,,,70.0,192.0,HamiJo20,nflverse-combine-derived
Thomas Hamner,RB,Minnesota,2000,5.77,8,4.5,32.0,125.0,4.07,6.97,17.0,72.0,197.0,,nflverse-combine-derived
D'Andre Hardeman,RB,Texas A&M,2000,4.5,7,4.81,30.0,109.0,4.36,7.27,,70.0,238.0,,nflverse-combine-derived
Windrell Hayes,WR,USC,2000,4.96,5,4.5,,,4.18,7.33,,71.0,204.0,HayeWi00,nflverse-combine-derived
Leroy Hodge,WR,Texas A&M,2000,5.07,7,4.54,34.5,116.0,4.21,7.14,,73.0,215.0,,nflverse-combine-derived
Todd Husak,QB,Stanford,2000,3.57,7,5.2,27.5,99.0,4.41,7.17,,75.0,216.0,HusaTo20,nflverse-combine-derived
Trevor Insley,WR,Nevada,2000,4.04,3,4.7,,,,,,72.0,192.0,InslTr00,nflverse-combine-derived
Darrell Jackson,WR,Florida,2000,4.94,3,4.56,,,,,,72.0,197.0,JackDa00,nflverse-combine-derived
Jarious Jackson,QB,Notre Dame,2000,4.34,4,4.68,,109.0,,,,72.0,226.0,JackJa01,nflverse-combine-derived
Marlion Jackson,RB,Saginaw Valley State,2000,6.57,8,4.6,35.5,125.0,4.14,7.15,24.0,73.0,242.0,JackMa01,nflverse-combine-derived
Ronney Jenkins,RB,Northern Arizona,2000,4.58,5,4.5,,118.0,,,18.0,70.0,184.0,JenkRo00,nflverse-combine-derived
Doug Johnson,QB,Florida,2000,3.48,5,4.95,29.5,96.0,,,,74.0,226.0,JohnDo00,nflverse-combine-derived
Dwaune Jones,WR,Richmond,2000,4.21,3,4.66,,,,,,72.0,191.0,,nflverse-combine-derived
John Jones,TE,Pittsburgh,2000,5.32,8,4.63,38.5,125.0,4.43,7.33,13.0,76.0,248.0,JoneJo00,nflverse-combine-derived
Thomas Jones,RB,Virginia,2000,5.61,3,4.45,,,,,,70.0,216.0,JoneTh00,nflverse-combine-derived
Morgan Kane,RB,Wake Forest,2000,6.72,8,4.62,37.5,121.0,4.16,6.81,29.0,73.0,221.0,,nflverse-combine-derived
Curtis Keaton,RB,West Virginia,2000,7.2,8,4.41,41.5,131.0,3.93,6.82,23.0,70.0,214.0,KeatCu00,nflverse-combine-derived
Matt Keller,RB,Ohio State,2000,5.57,3,4.74,,,,,,71.0,235.0,,nflverse-combine-derived
Dan Kendra,RB,Florida State,2000,5.83,6,4.84,35.0,119.0,,,24.0,72.0,251.0,,nflverse-combine-derived
Erron Kinney,TE,Florida,2000,5.18,3,4.9,,,,,,78.0,272.0,KinnEr00,nflverse-combine-derived
Marcus Knight,WR,Michigan,2000,3.16,7,4.72,28.5,106.0,4.38,7.11,,73.0,180.0,KnigMa00,nflverse-combine-derived
Charles Lee,WR,Central Florida,2000,5.03,7,4.56,35.5,125.0,4.25,7.3,,73.0,202.0,LeexCh00,nflverse-combine-derived
Tim Lester,QB,West. Michigan,2000,3.21,7,5.02,27.0,97.0,4.24,7.28,,72.0,202.0,,nflverse-combine-derived
Jamal Lewis,RB,Tennessee,2000,6.33,4,4.58,,,,,23.0,72.0,240.0,LewiJa00,nflverse-combine-derived
Anthony Lucas,WR,Arkansas,2000,5.28,5,4.53,35.0,121.0,,,,75.0,194.0,,nflverse-combine-derived
Alton Lusk,WR,Central Oklahoma,2000,4.82,7,4.61,36.5,122.0,4.26,7.16,,74.0,182.0,,nflverse-combine-derived
Tee Martin,QB,Tennessee,2000,5.45,5,4.58,34.5,113.0,,,,74.0,227.0,MartTe00,nflverse-combine-derived
Terrence McCaskey,TE,Mississippi State,2000,3.18,5,5.0,29.0,101.0,,,,77.0,271.0,,nflverse-combine-derived
Kevin McDougal,RB,Colorado State,2000,5.06,7,4.63,32.0,108.0,4.12,7.08,,71.0,206.0,McDoKe01,nflverse-combine-derived
Rondell Mealey,RB,LSU,2000,5.81,7,4.69,33.0,120.0,4.15,6.89,,72.0,212.0,MealRo00,nflverse-combine-derived
Wendell Montgomery,WR,Wyoming,2000,4.71,7,4.81,35.5,117.0,4.24,7.01,,75.0,203.0,,nflverse-combine-derived
Scottie Montgomery,WR,Duke,2000,4.88,7,4.57,36.0,117.0,4.11,7.16,,72.0,196.0,MontSc00,nflverse-combine-derived
Muneer Moore,WR,Richmond,2000,6.01,7,4.52,37.5,129.0,4.09,6.91,,73.0,201.0,,nflverse-combine-derived
Frank Moreau,RB,Louisville,2000,6.07,6,4.57,36.0,117.0,,,23.0,73.0,231.0,MoreFr00,nflverse-combine-derived
Sammy Morris,RB,Texas Tech,2000,6.0,8,4.65,37.5,117.0,4.21,7.05,23.0,72.0,221.0,MorrSa00,nflverse-combine-derived
Sylvester Morris,WR,Jackson State,2000,5.42,7,4.6,34.5,119.0,4.17,7.06,,75.0,216.0,MorrSy00,nflverse-combine-derived
Chad Morton,RB,USC,2000,4.61,6,4.5,36.0,121.0,,,18.0,68.0,182.0,MortCh00,nflverse-combine-derived
Leon Murray,QB,Tennessee State,2000,4.17,3,4.75,,,,,,74.0,207.0,,nflverse-combine-derived
Dennis Northcutt,WR,Arizona,2000,5.3,7,4.43,37.5,123.0,4.04,6.96,,70.0,175.0,NortDe00,nflverse-combine-derived
Carlos Nuno,TE,BYU,2000,3.47,6,5.03,28.0,106.0,,,23.0,76.0,263.0,,nflverse-combine-derived
Chad Pennington,QB,Marshall,2000,5.49,7,4.81,33.5,111.0,4.16,7.12,,75.0,229.0,PennCh01,nflverse-combine-derived
Cory Peterson,WR,Mississippi,2000,3.85,5,4.75,32.5,114.0,,,,74.0,195.0,,nflverse-combine-derived
Mareno Philyaw,WR,Troy,2000,5.93,7,4.66,39.5,129.0,4.13,6.93,,74.0,205.0,PhilMa20,nflverse-combine-derived
Todd Pinkston,WR,Southern Miss,2000,5.07,3,4.45,,,,,,74.0,169.0,PinkTo00,nflverse-combine-derived
Jerry Porter,WR,West Virginia,2000,6.68,3,4.48,,,,,,74.0,221.0,PortJe00,nflverse-combine-derived
Travis Prentice,RB,Miami (OH),2000,5.98,8,4.5,37.0,115.0,4.4,6.92,23.0,72.0,225.0,PrenTr00,nflverse-combine-derived
Tim Rattay,QB,Louisiana Tech,2000,3.54,7,4.91,25.5,100.0,4.21,7.34,,72.0,215.0,RattTi00,nflverse-combine-derived
Chris Redman,QB,Louisville,2000,2.16,7,5.37,26.5,98.0,4.78,7.8,,75.0,222.0,RedmCh00,nflverse-combine-derived
J.R. Redmond,RB,Arizona State,2000,5.47,5,4.48,32.5,121.0,,,,71.0,216.0,RedmJ.00,nflverse-combine-derived
Phillip Rogers,RB,Georgia Tech,2000,6.01,8,4.68,37.0,124.0,4.31,7.21,19.0,73.0,232.0,,nflverse-combine-derived
Ketric Sanford,RB,Houston,2000,4.64,8,4.6,32.0,118.0,4.3,6.63,12.0,67.0,199.0,,nflverse-combine-derived
Gari Scott,WR,Michigan State,2000,4.38,5,4.59,33.5,119.0,,,,72.0,194.0,ScotGa00,nflverse-combine-derived
Aaron Shea,RB,Michigan,2000,6.76,7,4.81,37.5,114.0,4.3,6.72,,76.0,253.0,SheaAa00,nflverse-combine-derived
Kofi Shuck,WR,Wyoming,2000,4.52,7,4.66,33.0,119.0,4.1,7.18,,74.0,180.0,,nflverse-combine-derived
Keith Smith,RB,Arizona,2000,5.19,3,4.5,,,,,,70.0,207.0,SmitKe03,nflverse-combine-derived
Paul Smith,RB,Texas-El Paso,2000,5.65,4,4.65,,,,,25.0,71.0,220.0,SmitPa00,nflverse-combine-derived
Terrelle Smith,RB,Arizona State,2000,3.47,8,5.0,32.5,109.0,4.85,8.38,19.0,72.0,249.0,SmitTe00,nflverse-combine-derived
R. Jay Soward,WR,USC,2000,4.76,5,4.34,35.0,124.0,,,,69.0,177.0,SowaR.00,nflverse-combine-derived
Rashon Spikes,RB,Boise State,2000,4.2,8,4.78,33.0,113.0,4.47,7.18,13.0,70.0,204.0,,nflverse-combine-derived
Quinton Spotwood,WR,Syracuse,2000,4.36,5,4.55,33.5,123.0,,,,71.0,184.0,,nflverse-combine-derived
Dave Stachelski,TE,Boise State,2000,5.85,8,4.78,38.0,115.0,4.14,6.84,24.0,75.0,250.0,StacDa00,nflverse-combine-derived
Shyrone Stith,RB,Virginia Tech,2000,4.58,8,4.6,35.0,111.0,4.14,7.14,13.0,67.0,204.0,StitSh00,nflverse-combine-derived
Jay Tant,TE,Northwestern,2000,5.32,4,4.75,,,,,31.0,75.0,255.0,TantJa00,nflverse-combine-derived
Travis Taylor,WR,Florida,2000,5.31,6,4.43,37.0,118.0,,7.15,,73.0,199.0,TaylTr01,nflverse-combine-derived
Troy Walters,WR,Stanford,2000,4.18,7,4.55,32.5,106.0,3.84,6.61,,66.0,171.0,WaltTr00,nflverse-combine-derived
Peter Warrick,WR,Florida State,2000,4.48,3,4.58,,,,,,71.0,194.0,WarrPe00,nflverse-combine-derived
James Whalen,TE,Kentucky,2000,3.86,7,4.78,31.0,110.0,4.22,7.42,,74.0,228.0,WhalJa00,nflverse-combine-derived
Austin Wheatley,TE,Iowa,2000,5.82,7,4.66,32.5,121.0,4.18,6.97,,76.0,254.0,WheaAu20,nflverse-combine-derived
Anthony White,RB,Kentucky,2000,5.25,7,4.68,32.5,118.0,4.24,7.05,,72.0,195.0,,nflverse-combine-derived
Dez White,WR,Georgia Tech,2000,5.85,7,4.62,37.5,124.0,4.09,6.91,,73.0,218.0,WhitDe00,nflverse-combine-derived
Michael Wiley,RB,Ohio State,2000,5.08,3,4.5,,,,,,71.0,193.0,WileMi00,nflverse-combine-derived
Boo Williams,RB,South Carolina,2000,5.87,3,4.52,,,,,,71.0,222.0,WillBo00,nflverse-combine-derived
James Williams,WR,Marshall,2000,4.58,7,4.59,36.0,123.0,4.16,7.22,,71.0,180.0,WillJa01,nflverse-combine-derived
Destry Wright,RB,Jackson State,2000,4.26,8,4.84,29.5,112.0,4.41,7.15,15.0,71.0,216.0,,nflverse-combine-derived
Spergon Wynn,QB,Texas State,2000,4.08,7,4.91,34.0,108.0,4.59,7.71,,75.0,229.0,WynnSp00,nflverse-combine-derived
Bashir Yamini,WR,Iowa,2000,5.48,7,4.53,33.0,130.0,4.18,7.09,,75.0,191.0,YamiBa20,nflverse-combine-derived
David Allen,RB,Kansas State,2001,3.7,6,4.62,31.0,111.0,,,15.0,69.0,194.0,AlleDa00,nflverse-combine-derived
Scotty Anderson,WR,Grambling State,2001,4.43,5,4.57,34.5,115.0,,,,74.0,184.0,AndeSc00,nflverse-combine-derived
Billy Baber,TE,Virginia,2001,5.05,8,4.76,33.0,106.0,4.19,7.12,22.0,76.0,255.0,BabeBi00,nflverse-combine-derived
Alex Bannister,WR,East. Kentucky,2001,4.9,5,4.47,30.5,110.0,,,,77.0,201.0,BannAl00,nflverse-combine-derived
Kevan Barlow,RB,Pittsburgh,2001,6.74,3,4.56,,,,,,73.0,235.0,BarlKe00,nflverse-combine-derived
Jonathan Beasley,QB,Kansas State,2001,3.67,7,4.85,29.5,102.0,4.38,7.55,,72.0,227.0,,nflverse-combine-derived
Michael Bennett,RB,Wisconsin,2001,5.79,6,4.38,39.5,130.0,,,13.0,69.0,207.0,BennMi00,nflverse-combine-derived
Eddie Berlin,WR,New Mexico,2001,5.87,7,4.43,39.5,122.0,4.08,6.78,,71.0,191.0,BerlEd00,nflverse-combine-derived
Darvell Bivens,RB,NW State (LA),2001,4.83,8,4.97,33.5,108.0,4.38,7.81,32.0,70.0,255.0,,nflverse-combine-derived
Derrick Blaylock,RB,Stephen F. Austin,2001,5.69,8,4.36,35.5,119.0,4.09,7.05,18.0,70.0,194.0,BlayDe00,nflverse-combine-derived
Josh Booty,QB,LSU,2001,3.77,7,4.9,29.5,105.0,4.48,7.54,,74.0,221.0,,nflverse-combine-derived
Drew Brees,QB,Purdue,2001,4.46,7,4.83,32.0,105.0,4.21,7.09,,72.0,213.0,BreeDr00,nflverse-combine-derived
Sean Brewer,TE,San Jose State,2001,5.1,8,4.73,36.0,117.0,4.18,7.37,14.0,76.0,255.0,BrewSe20,nflverse-combine-derived
Corey Brown,WR,Tulsa,2001,5.37,5,4.63,39.5,126.0,,,,72.0,202.0,BrowPh00,nflverse-combine-derived
Correll Buckhalter,RB,Nebraska,2001,6.27,8,4.53,40.0,123.0,4.06,7.08,11.0,72.0,226.0,BuckCo00,nflverse-combine-derived
Adrian Burnette,WR,Tulane,2001,3.86,3,4.63,,,,,,70.0,191.0,,nflverse-combine-derived
John Capel,WR,Florida,2001,5.17,5,4.39,36.5,126.0,,,,71.0,177.0,,nflverse-combine-derived
Elliott Carson,TE,Vanderbilt,2001,4.56,8,4.9,36.0,115.0,4.21,7.52,16.0,76.0,246.0,,nflverse-combine-derived
Quincy Carter,QB,Georgia,2001,5.86,7,4.58,35.5,113.0,4.12,7.12,,74.0,225.0,CartQu00,nflverse-combine-derived
Chris Chambers,WR,Wisconsin,2001,7.43,6,4.33,45.0,134.0,4.0,,,72.0,210.0,ChamCh00,nflverse-combine-derived
Jeff Chaney,RB,Florida State,2001,5.2,3,4.46,,,,,,71.0,193.0,,nflverse-combine-derived
Kenny Clark,WR,Central Florida,2001,5.47,5,4.59,35.5,121.0,,,,73.0,225.0,ClarKe22,nflverse-combine-derived
Justin Coleman,QB,Nebraska-Kearney,2001,3.29,7,5.22,29.5,101.0,4.62,7.78,,76.0,238.0,ColeJu01,nflverse-combine-derived
Derek Combs,RB,Ohio State,2001,5.54,8,4.42,35.0,120.0,4.07,6.96,8.0,72.0,193.0,CombDe20,nflverse-combine-derived
Jameel Cook,RB,Illinois,2001,4.03,8,4.8,29.5,108.0,4.38,7.55,17.0,70.0,226.0,CookJa00,nflverse-combine-derived
Corey Crume,RB,East. Kentucky,2001,5.06,8,4.76,37.0,115.0,4.32,7.36,15.0,71.0,225.0,,nflverse-combine-derived
Alge Crumpler,TE,North Carolina,2001,4.64,8,4.76,34.0,112.0,4.43,7.38,22.0,74.0,266.0,CrumAl00,nflverse-combine-derived
Ronney Daniels,WR,Auburn,2001,4.89,5,4.61,34.5,118.0,,,,73.0,212.0,,nflverse-combine-derived
Heath Evans,RB,Auburn,2001,6.04,8,4.56,34.5,111.0,4.24,7.3,30.0,72.0,246.0,EvanHe00,nflverse-combine-derived
Robert Ferguson,WR,Texas A&M,2001,5.44,7,4.48,36.5,120.0,4.07,7.24,,73.0,205.0,FergRo00,nflverse-combine-derived
Dauntae' Finger,TE,North Carolina,2001,3.01,8,5.09,33.5,103.0,4.59,7.95,15.0,76.0,262.0,,nflverse-combine-derived
Richmond Flowers,WR,Tenn-Chattanooga,2001,5.04,7,4.55,35.5,114.0,3.96,6.98,,71.0,195.0,,nflverse-combine-derived
Rod Gardner,WR,Clemson,2001,6.62,3,4.48,,,,,,74.0,219.0,GardRo00,nflverse-combine-derived
Reggie Germany,WR,Ohio State,2001,5.6,3,4.39,,,,,,73.0,183.0,GermRe00,nflverse-combine-derived
Javon Green,WR,Colorado,2001,4.09,7,4.73,35.5,113.0,4.34,7.41,,73.0,211.0,,nflverse-combine-derived
Shane Griggs,QB,Michigan,2001,4.31,3,4.83,,,,,,76.0,199.0,,nflverse-combine-derived
Latef Grim,WR,Pittsburgh,2001,3.79,6,4.6,,111.0,4.33,7.27,,71.0,188.0,,nflverse-combine-derived
Daniel Guy,WR,Jackson State,2001,5.26,7,4.61,38.5,125.0,4.29,7.35,,74.0,211.0,,nflverse-combine-derived
Antoine Harris,TE,Louisville,2001,3.32,4,4.93,,,,,11.0,75.0,260.0,HarrAn98,nflverse-combine-derived
Tim Hasselbeck,QB,Boston Col.,2001,4.45,7,4.83,33.0,113.0,4.4,7.27,,73.0,211.0,HassTi00,nflverse-combine-derived
Todd Heap,TE,Arizona State,2001,5.11,3,4.68,,,,,,77.0,252.0,HeapTo00,nflverse-combine-derived
Travis Henry,RB,Tennessee,2001,5.2,4,4.61,,,,,23.0,69.0,223.0,HenrTr00,nflverse-combine-derived
Josh Heupel,QB,Oklahoma,2001,5.4,7,4.85,37.5,114.0,4.15,7.18,,74.0,215.0,,nflverse-combine-derived
Jabari Holloway,TE,Notre Dame,2001,4.77,8,4.91,38.5,113.0,4.4,7.14,20.0,74.0,253.0,HollJa01,nflverse-combine-derived
Derek Homer,RB,Kentucky,2001,4.42,7,4.6,32.5,113.0,4.3,7.24,,68.0,194.0,,nflverse-combine-derived
Margin Hooks,WR,BYU,2001,4.8,7,4.5,36.0,116.0,4.18,7.08,,71.0,191.0,,nflverse-combine-derived
Khori Ivy,WR,West Virginia,2001,4.97,3,4.64,,,,,,74.0,195.0,,nflverse-combine-derived
Arnold Jackson,WR,Louisville,2001,4.67,7,4.48,41.0,127.0,4.11,7.42,,68.0,167.0,JackAr00,nflverse-combine-derived
James Jackson,RB,Miami (FL),2001,5.12,3,4.55,,,,,,70.0,210.0,JackJa00,nflverse-combine-derived
Cedric James,WR,TCU,2001,6.92,5,4.49,43.0,134.0,,,,74.0,204.0,JameCe00,nflverse-combine-derived
Ortege Jenkins,QB,Arizona,2001,4.69,7,4.82,34.5,108.0,4.4,7.32,,73.0,234.0,,nflverse-combine-derived
Sly Johnson,WR,Miami (OH),2001,3.58,5,4.61,35.5,115.0,,,,69.0,181.0,,nflverse-combine-derived
Jevaris Johnson,TE,Georgia,2001,4.36,3,4.9,,,,,,77.0,257.0,,nflverse-combine-derived
Chad Johnson,WR,Oregon State,2001,3.98,7,4.57,33.0,108.0,4.14,7.51,,73.0,192.0,JohnCh01,nflverse-combine-derived
Rudi Johnson,RB,Auburn,2001,5.84,8,4.57,37.5,119.0,4.22,7.32,24.0,70.0,227.0,JohnRu00,nflverse-combine-derived
Lamont Jordan,RB,Maryland,2001,5.84,4,4.57,,,,,24.0,70.0,234.0,JordLa00,nflverse-combine-derived
Kevin Kasper,WR,Iowa,2001,7.26,7,4.42,43.5,126.0,3.73,6.56,,72.0,199.0,KaspKe00,nflverse-combine-derived
Robert Kilow,WR,Arkansas State,2001,4.17,3,4.44,,,,,,70.0,171.0,,nflverse-combine-derived
Andre King,WR,Miami (FL),2001,4.75,3,4.61,,,,,,72.0,199.0,KingAn00,nflverse-combine-derived
Dave Klemic,WR,Northeastern (MA),2001,4.93,5,4.37,36.5,116.0,,,,71.0,188.0,,nflverse-combine-derived
George Layne,RB,TCU,2001,5.73,7,4.59,32.0,115.0,4.19,7.08,,71.0,242.0,LaynGe00,nflverse-combine-derived
Cleo Lemon,QB,Arkansas State,2001,4.82,7,4.87,35.5,106.0,4.27,7.33,,74.0,226.0,LemoCl00,nflverse-combine-derived
Arther Love,TE,South Carolina State,2001,4.77,5,4.75,36.0,,,,24.0,76.0,236.0,,nflverse-combine-derived
Brandon Manumaleuna,TE,Arizona,2001,3.74,7,4.99,30.0,106.0,4.26,7.49,,74.0,275.0,ManuBr00,nflverse-combine-derived
David Martin,WR,Tennessee,2001,6.45,3,4.76,,,,,,76.0,242.0,MartDa00,nflverse-combine-derived
Deuce McAllister,RB,Mississippi,2001,6.82,3,4.41,,,,,,73.0,222.0,McAlDe00,nflverse-combine-derived
Justin McCareins,WR,Northern Illinois,2001,6.49,7,4.51,41.0,129.0,3.99,7.06,,74.0,209.0,McCaJu00,nflverse-combine-derived
Dustin McClintock,RB,Alabama,2001,3.09,8,5.31,30.0,105.0,4.58,8.1,7.0,73.0,259.0,,nflverse-combine-derived
Quentin McCord,WR,Kentucky,2001,4.53,7,4.48,36.5,112.0,4.18,7.17,,70.0,191.0,McCoQu00,nflverse-combine-derived
Mike McMahon,QB,Rutgers,2001,6.1,7,4.57,37.5,124.0,4.12,7.12,,74.0,207.0,McMaMi00,nflverse-combine-derived
Shad Meier,TE,Kansas State,2001,5.31,8,4.85,34.0,113.0,4.15,7.14,20.0,77.0,256.0,MeieSh00,nflverse-combine-derived
Romaro Miller,QB,Mississippi,2001,4.26,7,4.61,35.0,110.0,4.51,7.4,,72.0,205.0,,nflverse-combine-derived
Shawn Mills,WR,Southern Miss,2001,4.62,7,4.51,34.5,116.0,4.15,7.12,,72.0,180.0,,nflverse-combine-derived
Snoop Minnis,WR,Florida State,2001,4.81,7,4.57,37.5,115.0,4.07,7.06,,73.0,171.0,MinnMa00,nflverse-combine-derived
Travis Minor,RB,Florida State,2001,4.14,6,4.44,32.0,115.0,,,9.0,70.0,197.0,MinoTr00,nflverse-combine-derived
Hodges Mitchell,RB,Texas,2001,3.39,3,4.53,,,,,,67.0,180.0,,nflverse-combine-derived
Freddie Mitchell,WR,UCLA,2001,5.49,7,4.46,39.5,120.0,4.06,6.95,,71.0,185.0,MitcFr00,nflverse-combine-derived
Quincy Morgan,WR,Kansas State,2001,6.09,3,4.48,,,,,,73.0,211.0,MorgQu00,nflverse-combine-derived
Santana Moss,WR,Miami (FL),2001,5.29,3,4.31,,,,,,70.0,184.0,MossSa00,nflverse-combine-derived
Brian Natkin,TE,Texas-El Paso,2001,2.62,8,4.95,27.0,98.0,4.59,7.78,20.0,74.0,251.0,NatkBr00,nflverse-combine-derived
Steve Neal,WR,West. Michigan,2001,4.8,7,4.59,36.0,119.0,4.19,7.18,,73.0,190.0,,nflverse-combine-derived
Bobby Newcombe,WR,Nebraska,2001,5.29,7,4.53,37.0,117.0,3.98,6.86,,70.0,195.0,,nflverse-combine-derived
Moran Norris,RB,Kansas,2001,5.74,8,4.63,31.0,114.0,4.5,7.56,37.0,73.0,250.0,NorrMo00,nflverse-combine-derived
