pfr_id,name,birth_date
BrowRo01,Ron Brown,1961-03-31
BrowCh00,Charlie Brown,1958-10-29
BrowGa00,Gary Brown,1969-07-01
BrowTi00,Tim Brown,1966-07-22
BrowTr00,Troy Brown,1971-07-02
BrowTh00,Theotis Brown,1957-04-20
BrowTe00,Ted Brown,1957-02-15
BrowTy00,Tyrone Brown,1973-01-03
BrucIs00,Isaac Bruce,1972-11-10
BrueBo00,Bob Bruer,1953-05-22
BrunSc00,Scott Brunner,1957-03-24
BrunMa00,Mark Brunell,1970-09-17
BryaCu00,Cullen Bryant,1951-05-20
BryaKe00,Kelvin Bryant,1960-09-26
BuncJa00,Jarrod Bunch,1968-08-09
BurbCo00,Cornell Burbage,1965-02-22
BurkCh00,Chris Burkett,1962-08-21
BryaSt00,Steve Bryant,1959-10-10
BurkJo00,John Burke,1971-09-07
BrueMa00,Mark Bruener,1972-09-16
BussDe00,Dexter Bussey,1952-03-11
ButlJe00,Jerry Butler,1957-10-12
ButlRa00,Ray Butler,1956-06-28
BurrKe00,Ken Burrough,1948-07-14
ByarKe00,Keith Byars,1963-10-14
ByruCa00,Carl Byrum,1963-06-29
CainLy00,Lynn Cain,1955-10-16
ByneEa00,Earnest Byner,1962-09-15
CalhDo00,Don Calhoun,1952-04-29
ButtMa00,Marion Butts,1966-08-01
CallCh00,Chris Calloway,1968-03-29
CampEa00,Earl Campbell,1955-03-29
CampBi00,Billy Campfield,1956-08-20
CampJe00,Jeff Campbell,1968-03-26
CapeWa00,Wayne Capers,1961-05-17
CarlCo00,Cody Carlson,1963-11-05
CampSc00,Scott Campbell,1962-04-15
CarpRo00,Rob Carpenter,1968-08-01
CarmHa00,Harold Carmichael,1949-09-22
CarpRo01,Rob Carpenter,1955-04-20
CarrPa00,Paul Ott Carruth,1961-07-22
CarrMa00,Mark Carrier,1965-10-28
CappJo00,John Cappelletti,1952-08-09
CarrWe00,Wesley Carroll,1967-09-06
CarsCa00,Carlos Carson,1958-12-28
CarrRo00,Roger Carr,1952-07-01
CarsDw00,Dwayne Carswell,1972-01-18
CartCr00,Cris Carter,1965-11-25
CartAn00,Anthony Carter,1960-09-17
CartDe00,Dexter Carter,1967-09-15
CartGe00,Gerald Carter,1957-06-19
CartJo00,Joe Carter,1962-06-23
CartMa00,Maurice Carthon,1961-04-24
CartKi00,Ki-Jana Carter,1973-09-12
CartPa00,Pat Carter,1966-08-01
CarrRa00,Rae Carruth,1974-01-20
CartTo00,Tony Carter,1972-08-23
CashKe00,Keith Cash,1969-08-07
CarvMe00,Mel Carver,1959-07-14
CashKe01,Kerry Cash,1969-08-07
CaspDa00,Dave Casper,1952-02-02
CavaMa00,Matt Cavanaugh,1956-10-27
CartRo00,Rodney Carter,1964-10-30
CefaJi00,Jimmy Cefalo,1956-10-06
CastRi00,Rich Caster,1948-10-16
CentLa00,Larry Centers,1968-06-01
ChanBo00,Bob Chandler,1949-04-24
ChadJe00,Jeff Chadwick,1960-12-16
ChanTh00,Thornton Chandler,1963-11-27
ChanCh00,Chris Chandler,1965-10-12
ChanWe00,Wes Chandler,1956-08-22
ChesRa00,Raymond Chester,1948-06-28
ChmuMa00,Mark Chmura,1969-02-22
ChilHe00,Henry Childs,1951-04-16
ChreWa00,Wayne Chrebet,1973-08-14
ChriBo00,Bob Christian,1968-11-14
ChriTo00,Todd Christensen,1956-08-03
ClacDa00,Darryl Clack,1963-10-29
ClarDe01,Derrick Clark,1971-05-04
ClaiRi00,Rickey Claitt,1957-04-12
ClarDw00,Dwight Clark,1957-01-08
ClarGr00,Greg Clark,1972-04-07
ClarJe00,Jessie Clark,1960-01-03
ClarKe00,Ken Clark,1966-06-11
ClarGa00,Gary Clark,1962-05-01
ClarLo00,Louis Clark,1964-07-03
ClarRo00,Robert Clark,1965-08-06
ClayMa00,Mark Clayton,1961-04-08
CleeCa00,Cam Cleeland,1975-08-15
ClinTo00,Tony Cline,1971-11-24
ClinJo20,Joey Clinkscales,1964-05-21
CobbRe00,Reggie Cobb,1968-07-07
CoffPa00,Paul Coffman,1956-03-29
ColeAn00,Andre Coleman,1972-09-19
ColeLi00,Lincoln Coleman,1969-08-12
