year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2000,Florida State,florida-state,ACC,P5,11,2,23.13,5.59,2,11
2000,Clemson,clemson,ACC,P5,9,3,11.54,2.04,14,49
2000,Georgia Tech,georgia-tech,ACC,P5,9,3,11.3,1.21,16,59
2000,Virginia,virginia,ACC,P5,6,6,0.1,3.18,61,37
2000,North Carolina State,north-carolina-state,ACC,P5,8,4,3.92,-0.33,47,68
2000,North Carolina,north-carolina,ACC,P5,6,5,2.4,1.85,54,52
2000,Maryland,maryland,ACC,P5,5,6,0.54,2.26,60,45
2000,Wake Forest,wake-forest,ACC,P5,2,9,-12.27,0.09,99,65
2000,Duke,duke,ACC,P5,0,11,-13.91,4.63,104,23
2000,Nebraska,nebraska,Big 12,P5,10,2,19.01,4.51,5,25
2000,Kansas State,kansas-state,Big 12,P5,11,3,15.72,3.93,9,30
2000,Iowa State,iowa-state,Big 12,P5,9,3,6.43,2.84,36,42
2000,Colorado,colorado,Big 12,P5,3,8,3.56,7.92,48,3
2000,Kansas,kansas,Big 12,P5,4,7,-1.95,4.6,73,24
2000,Missouri,missouri,Big 12,P5,3,8,-2.63,3.55,75,35
2000,Oklahoma,oklahoma,Big 12,P5,13,0,21.56,5.32,3,14
2000,Texas,texas,Big 12,P5,9,3,13.78,0.78,10,62
2000,Texas A&M,texas-am,Big 12,P5,7,5,11.44,5.03,15,19
2000,Texas Tech,texas-tech,Big 12,P5,7,6,4.81,1.65,44,57
2000,Oklahoma State,oklahoma-state,Big 12,P5,3,8,-3.18,2.63,78,43
2000,Baylor,baylor,Big 12,P5,2,9,-11.48,4.71,98,22
2000,Miami (FL),miami-fl,Big East,P5,11,1,23.22,5.22,1,15
2000,Virginia Tech,virginia-tech,Big East,P5,11,1,19.42,4.0,4,29
2000,Pitt,pittsburgh,Big East,P5,7,5,5.68,1.93,43,51
2000,Syracuse,syracuse,Big East,P5,6,5,6.94,3.12,33,38
2000,Boston College,boston-college,Big East,P5,7,5,6.3,1.72,38,55
2000,West Virginia,west-virginia,Big East,P5,7,5,6.29,5.54,39,12
2000,Temple,temple,Big East,P5,4,7,-3.09,1.36,77,58
2000,Rutgers,rutgers,Big East,P5,3,8,-8.67,2.15,90,47
2000,Michigan,michigan,Big Ten,P5,9,3,12.93,2.93,12,39
2000,Northwestern,northwestern,Big Ten,P5,8,4,8.85,4.26,24,27
2000,Purdue,purdue,Big Ten,P5,8,4,9.26,2.93,23,40
2000,Ohio State,ohio-state,Big Ten,P5,8,4,10.97,4.13,18,28
2000,Wisconsin,wisconsin,Big Ten,P5,9,4,9.65,4.42,22,26
2000,Minnesota,minnesota,Big Ten,P5,6,6,3.02,0.1,50,64
2000,Penn State,penn-state,Big Ten,P5,5,7,-0.05,3.71,62,33
2000,Iowa,iowa,Big Ten,P5,3,9,-2.4,6.86,74,7
2000,Illinois,illinois,Big Ten,P5,5,6,2.59,2.31,53,44
2000,Michigan State,michigan-state,Big Ten,P5,5,6,2.79,5.52,52,13
2000,Indiana,indiana,Big Ten,P5,3,8,-2.67,3.88,76,31
2000,Boise State,boise-state,Big West,G5,10,2,6.78,-8.8,35,113
2000,Utah State,utah-state,Big West,G5,5,6,-11.16,-5.53,97,100
2000,Idaho,idaho,Big West,G5,5,6,-7.41,-3.23,87,82
2000,New Mexico State,new-mexico-state,Big West,G5,3,8,-8.82,-4.0,92,88
2000,North Texas,north-texas,Big West,G5,3,8,-13.51,-5.69,102,101
2000,Arkansas State,arkansas-state,Big West,G5,1,10,-13.4,-1.58,101,75
2000,Louisville,louisville,Conference USA,G5,9,3,7.37,-2.22,31,79
2000,East Carolina,east-carolina,Conference USA,G5,8,4,6.93,-0.07,34,66
2000,Cincinnati,cincinnati,Conference USA,G5,7,5,-0.11,-1.61,63,76
2000,Southern Mississippi,southern-mississippi,Conference USA,G5,8,4,7.44,-0.14,30,67
2000,UAB,alabama-birmingham,Conference USA,G5,7,4,-0.69,-3.6,68,84
2000,Tulane,tulane,Conference USA,G5,6,5,-5.54,-5.27,84,98
2000,Memphis,memphis,Conference USA,G5,4,7,-7.05,-3.6,86,85
2000,Houston,houston,Conference USA,G5,3,8,-10.67,-0.67,95,69
2000,Army,army,Conference USA,G5,1,10,-15.26,-2.26,106,80
