year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2003,Florida State,florida-state,ACC,P5,10,3,17.75,6.9,4,3
2003,Maryland,maryland,ACC,P5,10,3,12.92,2.23,13,49
2003,Clemson,clemson,ACC,P5,9,4,10.49,4.26,22,26
2003,North Carolina State,north-carolina-state,ACC,P5,8,5,10.41,4.48,23,21
2003,Virginia,virginia,ACC,P5,8,5,10.15,4.46,24,23
2003,Georgia Tech,georgia-tech,ACC,P5,7,6,5.6,5.68,39,11
2003,Wake Forest,wake-forest,ACC,P5,5,7,4.19,5.28,45,12
2003,Duke,duke,ACC,P5,4,8,-3.02,4.31,76,25
2003,North Carolina,north-carolina,ACC,P5,2,10,-5.15,5.18,80,13
2003,Kansas State,kansas-state,Big 12,P5,11,4,15.74,1.61,7,53
2003,Nebraska,nebraska,Big 12,P5,10,3,11.18,2.18,18,50
2003,Missouri,missouri,Big 12,P5,8,5,6.45,0.45,35,63
2003,Kansas,kansas,Big 12,P5,6,7,-0.59,0.49,66,62
2003,Colorado,colorado,Big 12,P5,5,7,1.45,6.36,56,6
2003,Iowa State,iowa-state,Big 12,P5,2,10,-10.27,5.15,98,14
2003,Oklahoma,oklahoma,Big 12,P5,12,2,20.27,4.06,3,32
2003,Texas,texas,Big 12,P5,10,3,15.35,2.97,8,43
2003,Oklahoma State,oklahoma-state,Big 12,P5,9,4,9.32,0.93,27,58
2003,Texas Tech,texas-tech,Big 12,P5,8,5,7.5,2.73,33,44
2003,Texas A&M,texas-am,Big 12,P5,4,8,-3.46,5.88,77,10
2003,Baylor,baylor,Big 12,P5,3,9,-9.46,1.79,95,52
2003,Miami (FL),miami-fl,Big East,P5,11,2,14.47,4.16,10,31
2003,West Virginia,west-virginia,Big East,P5,8,5,6.51,1.51,34,54
2003,Pitt,pittsburgh,Big East,P5,8,5,6.1,1.33,37,55
2003,Virginia Tech,virginia-tech,Big East,P5,8,5,8.91,0.6,29,61
2003,Boston College,boston-college,Big East,P5,8,5,5.69,2.53,38,46
2003,Syracuse,syracuse,Big East,P5,6,6,4.11,0.95,46,57
2003,Rutgers,rutgers,Big East,P5,5,7,-1.65,0.27,70,66
2003,Temple,temple,Big East,P5,1,11,-11.95,0.88,104,60
2003,Michigan,michigan,Big Ten,P5,10,3,16.1,3.94,6,34
2003,Ohio State,ohio-state,Big Ten,P5,11,2,14.0,6.07,12,9
2003,Purdue,purdue,Big Ten,P5,9,4,10.79,4.25,20,27
2003,Iowa,iowa,Big Ten,P5,10,3,14.66,4.2,9,30
2003,Minnesota,minnesota,Big Ten,P5,10,3,11.88,-0.04,16,68
2003,Michigan State,michigan-state,Big Ten,P5,8,5,7.95,3.56,32,37
2003,Wisconsin,wisconsin,Big Ten,P5,7,6,6.44,4.21,36,29
2003,Northwestern,northwestern,Big Ten,P5,6,7,0.09,4.47,63,22
2003,Penn State,penn-state,Big Ten,P5,3,9,0.77,4.35,59,24
2003,Indiana,indiana,Big Ten,P5,2,10,-9.87,3.38,97,39
2003,Illinois,illinois,Big Ten,P5,1,11,-8.63,4.62,92,18
2003,Southern Mississippi,southern-mississippi,Conference USA,G5,9,4,3.58,-1.12,48,70
2003,Texas Christian,texas-christian,Conference USA,G5,11,2,2.83,-5.48,53,103
2003,Louisville,louisville,Conference USA,G5,9,4,1.32,-5.38,57,101
2003,Memphis,memphis,Conference USA,G5,9,4,3.31,-5.62,49,104
2003,South Florida,south-florida,Conference USA,G5,7,4,-3.98,-6.53,78,111
2003,Houston,houston,Conference USA,G5,7,6,-4.23,-4.16,79,87
2003,UAB,alabama-birmingham,Conference USA,G5,5,7,-5.47,-2.64,83,76
2003,Tulane,tulane,Conference USA,G5,5,7,-9.17,-4.34,94,90
2003,Cincinnati,cincinnati,Conference USA,G5,5,7,-5.93,-3.93,86,86
2003,East Carolina,east-carolina,Conference USA,G5,1,11,-16.02,-1.44,109,72
2003,Army,army,Conference USA,G5,0,13,-22.15,-3.0,117,81
2003,Connecticut,connecticut,FBS Independents,P5,9,3,3.73,-5.27,47,99
