year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2021,Wake Forest,wake-forest,ACC,P5,11,3,11.28,0.99,17,57
2021,Clemson,clemson,ACC,P5,10,3,11.43,2.66,15,40
2021,North Carolina State,north-carolina-state,ACC,P5,9,3,10.22,0.39,21,60
2021,Louisville,louisville,ACC,P5,6,7,4.03,2.88,52,38
2021,Florida State,florida-state,ACC,P5,5,7,0.64,2.22,70,44
2021,Boston College,boston-college,ACC,P5,6,6,-1.0,-1.5,79,74
2021,Syracuse,syracuse,ACC,P5,5,7,-0.17,1.74,73,50
2021,Pitt,pittsburgh,ACC,P5,11,3,12.32,0.32,11,61
2021,Miami (FL),miami-fl,ACC,P5,7,5,5.09,3.26,46,33
2021,Virginia,virginia,ACC,P5,6,6,2.24,2.57,63,41
2021,Virginia Tech,virginia-tech,ACC,P5,6,7,-0.33,0.67,74,58
2021,North Carolina,north-carolina,ACC,P5,6,7,3.77,2.15,56,45
2021,Georgia Tech,georgia-tech,ACC,P5,3,9,-1.91,3.68,86,26
2021,Duke,duke,ACC,P5,3,9,-11.76,-0.76,115,70
2021,Cincinnati,cincinnati,American Athletic,G5_top,13,1,15.34,0.2,6,64
2021,Houston,houston,American Athletic,G5_top,12,2,8.53,-3.26,29,102
2021,UCF,central-florida,American Athletic,G5_top,9,4,3.07,-2.08,59,84
2021,East Carolina,east-carolina,American Athletic,G5_top,7,5,1.92,-0.83,66,71
2021,Tulsa,tulsa,American Athletic,G5_top,7,6,-0.44,-0.29,75,68
2021,SMU,southern-methodist,American Athletic,G5_top,8,4,6.18,-1.82,41,78
2021,Memphis,memphis,American Athletic,G5_top,6,6,-1.36,-1.94,83,80
2021,Navy,navy,American Athletic,G5_top,4,8,-1.53,4.3,84,19
2021,Temple,temple,American Athletic,G5_top,3,9,-14.95,-1.61,125,77
2021,South Florida,south-florida,American Athletic,G5_top,2,10,-8.33,1.59,106,53
2021,Tulane,tulane,American Athletic,G5_top,2,10,-5.03,2.89,94,37
2021,Baylor,baylor,Big 12,P5,12,2,13.5,3.28,10,32
2021,Oklahoma State,oklahoma-state,Big 12,P5,12,2,14.57,4.42,7,17
2021,Oklahoma,oklahoma,Big 12,P5,11,2,11.75,2.68,13,39
2021,Iowa State,iowa-state,Big 12,P5,7,6,9.08,3.16,25,35
2021,Kansas State,kansas-state,Big 12,P5,8,5,9.12,2.43,24,42
2021,West Virginia,west-virginia,Big 12,P5,6,7,1.54,3.85,67,22
2021,Texas Tech,texas-tech,Big 12,P5,7,6,2.57,2.26,61,43
2021,Texas,texas,Big 12,P5,5,7,5.11,4.86,45,14
2021,Texas Christian,texas-christian,Big 12,P5,5,7,-0.45,3.63,76,27
2021,Kansas,kansas,Big 12,P5,2,10,-11.12,3.47,113,30
2021,Michigan,michigan,Big Ten,P5,12,2,19.8,6.23,2,4
2021,Ohio State,ohio-state,Big Ten,P5,11,2,19.53,5.53,4,9
2021,Michigan State,michigan-state,Big Ten,P5,11,2,14.41,5.26,8,12
2021,Penn State,penn-state,Big Ten,P5,7,6,11.22,5.53,18,10
2021,Maryland,maryland,Big Ten,P5,7,6,3.44,4.36,58,18
2021,Rutgers,rutgers,Big Ten,P5,5,8,-1.32,4.06,81,20
2021,Indiana,indiana,Big Ten,P5,2,10,-4.7,8.63,92,1
2021,Iowa,iowa,Big Ten,P5,10,4,9.45,5.1,23,13
2021,Minnesota,minnesota,Big Ten,P5,9,4,10.17,2.94,22,36
2021,Purdue,purdue,Big Ten,P5,9,4,10.58,5.81,20,5
2021,Wisconsin,wisconsin,Big Ten,P5,9,4,13.87,6.8,9,2
2021,Illinois,illinois,Big Ten,P5,5,7,2.2,4.61,64,16
2021,Nebraska,nebraska,Big Ten,P5,3,9,7.1,6.6,35,3
2021,Northwestern,northwestern,Big Ten,P5,3,9,-5.72,3.7,98,25
2021,Western Kentucky,western-kentucky,Conference USA,G5,9,5,8.39,-2.61,30,92
2021,Marshall,marshall,Conference USA,G5,7,6,2.37,-3.17,62,99
2021,Old Dominion,old-dominion,Conference USA,G5,6,7,-5.01,-4.39,93,112
2021,Middle Tennessee State,middle-tennessee-state,Conference USA,G5,7,6,-3.73,-5.5,88,123
2021,Charlotte,charlotte,Conference USA,G5,5,7,-11.35,-5.93,114,127
2021,Florida Atlantic,florida-atlantic,Conference USA,G5,5,7,-5.74,-3.9,99,107
2021,Florida International,florida-international,Conference USA,G5,1,11,-19.86,-4.86,129,121
2021,UTSA,texas-san-antonio,Conference USA,G5,12,2,5.65,-3.21,43,101
2021,UAB,alabama-birmingham,Conference USA,G5,9,4,3.98,-2.09,53,85
2021,North Texas,north-texas,Conference USA,G5,6,7,-4.51,-4.13,90,111
2021,UTEP,texas-el-paso,Conference USA,G5,7,6,-5.3,-5.61,96,125
2021,Rice,rice,Conference USA,G5,4,8,-10.1,-1.52,112,75
2021,Louisiana Tech,louisiana-tech,Conference USA,G5,3,9,-9.73,-2.98,110,95
2021,Southern Mississippi,southern-mississippi,Conference USA,G5,3,9,-13.12,-4.62,122,117
2021,Notre Dame,notre-dame,FBS Independents,P5,11,2,16.31,3.85,5,23
2021,Liberty,liberty,FBS Independents,P5,8,5,3.8,-3.51,55,104
2021,New Mexico State,new-mexico-state,FBS Independents,P5,2,10,-16.29,-2.87,126,94
2021,Connecticut,connecticut,FBS Independents,P5,1,11,-19.18,-2.59,128,91
2021,Massachusetts,massachusetts,FBS Independents,P5,1,11,-21.27,-4.02,130,109
2021,BYU,brigham-young,FBS Independents,P5,10,3,7.29,0.29,32,63
2021,Army,army,FBS Independents,P5,9,4,5.94,-1.53,42,76
2021,Kent State,kent-state,Mid-American,G5,7,7,-7.88,-3.45,105,103
