year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2009,Clemson,clemson,ACC,P5,9,5,11.73,4.01,17,21
2009,Boston College,boston-college,ACC,P5,8,5,5.47,2.17,43,47
2009,Florida State,florida-state,ACC,P5,7,6,6.08,5.38,40,10
2009,Wake Forest,wake-forest,ACC,P5,5,7,1.85,2.94,57,31
2009,North Carolina State,north-carolina-state,ACC,P5,5,7,-1.06,2.36,68,44
2009,Maryland,maryland,ACC,P5,2,10,-6.6,2.65,92,38
2009,Georgia Tech,georgia-tech,ACC,P5,11,3,13.54,4.83,10,14
2009,Virginia Tech,virginia-tech,ACC,P5,10,3,18.57,5.42,4,9
2009,Miami (FL),miami-fl,ACC,P5,9,4,12.2,4.73,16,17
2009,North Carolina,north-carolina,ACC,P5,8,5,8.04,3.04,30,30
2009,Duke,duke,ACC,P5,5,7,-2.45,-0.2,75,61
2009,Virginia,virginia,ACC,P5,3,9,-3.0,4.5,77,18
2009,Nebraska,nebraska,Big 12,P5,10,4,11.41,2.69,19,36
2009,Missouri,missouri,Big 12,P5,8,5,4.33,1.25,46,55
2009,Kansas State,kansas-state,Big 12,P5,6,6,-1.08,-0.08,69,60
2009,Iowa State,iowa-state,Big 12,P5,7,6,-0.96,-0.73,67,66
2009,Colorado,colorado,Big 12,P5,3,9,-3.86,2.39,81,43
2009,Kansas,kansas,Big 12,P5,5,7,0.88,2.22,60,46
2009,Texas,texas,Big 12,P5,13,1,20.21,3.49,3,26
2009,Oklahoma State,oklahoma-state,Big 12,P5,9,4,8.01,2.78,32,35
2009,Texas Tech,texas-tech,Big 12,P5,9,4,10.79,0.86,21,56
2009,Oklahoma,oklahoma,Big 12,P5,8,5,13.21,4.82,12,15
2009,Texas A&M,texas-am,Big 12,P5,6,7,3.37,2.91,53,32
2009,Baylor,baylor,Big 12,P5,4,8,-2.3,4.37,72,19
2009,Cincinnati,cincinnati,Big East,P5,12,1,14.23,1.77,8,51
2009,Pitt,pittsburgh,Big East,P5,10,3,12.75,1.98,14,49
2009,West Virginia,west-virginia,Big East,P5,9,4,7.48,2.48,33,42
2009,Rutgers,rutgers,Big East,P5,9,4,6.34,-2.12,39,79
2009,Connecticut,connecticut,Big East,P5,8,5,8.03,2.8,31,34
2009,South Florida,south-florida,Big East,P5,8,5,3.64,-0.05,50,59
2009,Louisville,louisville,Big East,P5,4,8,-4.01,2.83,82,33
2009,Syracuse,syracuse,Big East,P5,4,8,-4.41,2.51,85,40
2009,Ohio State,ohio-state,Big Ten,P5,11,2,14.71,1.71,7,52
2009,Iowa,iowa,Big Ten,P5,11,2,10.26,1.87,22,50
2009,Penn State,penn-state,Big Ten,P5,11,2,13.86,-0.75,9,67
2009,Wisconsin,wisconsin,Big Ten,P5,10,3,8.19,0.35,29,58
2009,Northwestern,northwestern,Big Ten,P5,8,5,-0.39,-1.93,64,77
2009,Michigan State,michigan-state,Big Ten,P5,6,7,2.52,1.68,55,54
2009,Purdue,purdue,Big Ten,P5,5,7,0.79,1.7,61,53
2009,Minnesota,minnesota,Big Ten,P5,6,7,-0.1,2.67,63,37
2009,Illinois,illinois,Big Ten,P5,3,9,-3.67,2.24,80,45
2009,Michigan,michigan,Big Ten,P5,5,7,-1.51,-0.26,70,63
2009,Indiana,indiana,Big Ten,P5,4,8,-5.75,-0.25,90,62
2009,East Carolina,east-carolina,Conference USA,G5,9,5,3.58,-0.85,52,69
2009,UCF,central-florida,Conference USA,G5,8,5,-0.75,-2.44,66,83
2009,Southern Mississippi,southern-mississippi,Conference USA,G5,7,6,-0.67,-4.36,65,98
