year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2019,Clemson,clemson,ACC,P5,14,1,21.04,2.7,4,41
2019,Louisville,louisville,ACC,P5,8,5,3.09,2.55,49,46
2019,Wake Forest,wake-forest,ACC,P5,8,5,3.23,0.0,48,69
2019,Boston College,boston-college,ACC,P5,6,7,-0.37,1.17,70,61
2019,Florida State,florida-state,ACC,P5,6,7,1.78,2.32,55,50
2019,Syracuse,syracuse,ACC,P5,5,7,-2.79,-0.62,82,73
2019,North Carolina State,north-carolina-state,ACC,P5,4,8,-7.82,-0.91,108,74
2019,Miami (FL),miami-fl,ACC,P5,6,7,1.97,-0.18,54,71
2019,Virginia,virginia,ACC,P5,9,5,6.29,1.5,36,57
2019,Virginia Tech,virginia-tech,ACC,P5,8,5,3.37,-1.63,47,81
2019,Pitt,pittsburgh,ACC,P5,8,5,0.6,0.52,62,66
2019,North Carolina,north-carolina,ACC,P5,7,6,6.38,1.22,35,59
2019,Duke,duke,ACC,P5,5,7,0.11,2.03,66,55
2019,Georgia Tech,georgia-tech,ACC,P5,3,9,-8.49,2.42,110,48
2019,Cincinnati,cincinnati,American Athletic,G5_top,11,3,10.87,2.51,24,47
2019,UCF,central-florida,American Athletic,G5_top,10,3,11.59,-1.87,22,84
2019,Temple,temple,American Athletic,G5_top,8,5,1.22,-0.09,60,70
2019,South Florida,south-florida,American Athletic,G5_top,4,8,-3.26,2.16,89,52
2019,East Carolina,east-carolina,American Athletic,G5_top,4,8,-9.85,-2.85,114,91
2019,Connecticut,connecticut,American Athletic,G5_top,2,10,-14.83,-1.33,124,78
2019,Memphis,memphis,American Athletic,G5_top,12,2,13.66,2.09,16,54
2019,Navy,navy,American Athletic,G5_top,11,2,12.6,0.83,17,63
2019,SMU,southern-methodist,American Athletic,G5_top,10,3,9.02,0.64,27,64
2019,Tulane,tulane,American Athletic,G5_top,7,6,3.98,1.21,44,60
2019,Houston,houston,American Athletic,G5_top,4,8,-0.41,3.25,71,32
2019,Tulsa,tulsa,American Athletic,G5_top,4,8,0.43,5.01,63,15
2019,Oklahoma,oklahoma,Big 12,P5,12,2,15.79,4.36,11,23
2019,Baylor,baylor,Big 12,P5,11,3,12.12,2.62,20,45
2019,Kansas State,kansas-state,Big 12,P5,8,5,7.02,2.64,34,44
2019,Oklahoma State,oklahoma-state,Big 12,P5,8,5,7.39,3.46,33,29
2019,Texas,texas,Big 12,P5,8,5,12.18,5.8,19,8
2019,Iowa State,iowa-state,Big 12,P5,7,6,7.92,4.53,32,21
2019,Texas Christian,texas-christian,Big 12,P5,5,7,5.27,3.6,40,27
2019,West Virginia,west-virginia,Big 12,P5,5,7,-2.92,3.16,84,36
2019,Texas Tech,texas-tech,Big 12,P5,4,8,-0.65,1.1,75,62
2019,Kansas,kansas,Big 12,P5,3,9,-5.73,3.19,99,33
2019,Ohio State,ohio-state,Big Ten,P5,13,1,27.39,7.32,1,5
2019,Penn State,penn-state,Big Ten,P5,11,2,17.34,4.88,7,18
2019,Michigan,michigan,Big Ten,P5,9,4,15.5,7.88,12,1
2019,Indiana,indiana,Big Ten,P5,8,5,5.79,1.49,39,58
2019,Michigan State,michigan-state,Big Ten,P5,7,6,6.06,5.6,37,11
2019,Maryland,maryland,Big Ten,P5,3,9,-3.18,4.57,88,20
2019,Rutgers,rutgers,Big Ten,P5,2,10,-11.16,4.93,118,17
