year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2002,Florida State,florida-state,ACC,P5,9,5,14.86,7.15,10,3
2002,Maryland,maryland,ACC,P5,11,3,12.73,0.94,15,56
2002,Virginia,virginia,ACC,P5,9,5,8.6,5.1,28,12
2002,North Carolina State,north-carolina-state,ACC,P5,11,3,12.86,0.22,14,60
2002,Clemson,clemson,ACC,P5,7,6,4.16,4.23,48,18
2002,Georgia Tech,georgia-tech,ACC,P5,7,6,4.56,3.86,45,27
2002,Wake Forest,wake-forest,ACC,P5,7,6,4.81,2.89,43,39
2002,North Carolina,north-carolina,ACC,P5,3,9,-5.52,6.15,77,6
2002,Duke,duke,ACC,P5,2,10,-7.05,2.54,82,44
2002,Colorado,colorado,Big 12,P5,9,5,11.77,6.56,18,5
2002,Kansas State,kansas-state,Big 12,P5,11,2,16.49,-0.12,7,64
2002,Iowa State,iowa-state,Big 12,P5,7,7,6.17,5.67,38,9
2002,Nebraska,nebraska,Big 12,P5,7,7,4.09,2.45,50,45
2002,Missouri,missouri,Big 12,P5,5,7,3.69,3.77,51,28
2002,Kansas,kansas,Big 12,P5,2,10,-14.87,0.05,109,62
2002,Oklahoma,oklahoma,Big 12,P5,12,2,19.02,4.31,3,17
2002,Texas,texas,Big 12,P5,11,2,17.32,4.01,6,19
2002,Texas Tech,texas-tech,Big 12,P5,9,5,9.53,5.6,24,10
2002,Oklahoma State,oklahoma-state,Big 12,P5,8,5,4.81,0.66,44,57
2002,Texas A&M,texas-am,Big 12,P5,6,6,6.4,2.4,37,49
2002,Baylor,baylor,Big 12,P5,3,9,-11.02,3.31,100,34
2002,Miami (FL),miami-fl,Big East,P5,12,1,20.35,3.04,2,37
2002,West Virginia,west-virginia,Big East,P5,9,4,7.3,2.3,35,51
2002,Pitt,pittsburgh,Big East,P5,9,4,9.99,2.45,23,46
2002,Virginia Tech,virginia-tech,Big East,P5,10,4,11.16,2.31,19,50
2002,Boston College,boston-college,Big East,P5,9,4,9.22,0.53,26,58
2002,Syracuse,syracuse,Big East,P5,4,8,-4.63,1.45,74,54
2002,Temple,temple,Big East,P5,4,8,-5.22,2.44,76,47
2002,Rutgers,rutgers,Big East,P5,1,11,-16.85,0.32,112,59
2002,Ohio State,ohio-state,Big Ten,P5,14,0,18.13,3.99,5,21
2002,Iowa,iowa,Big Ten,P5,11,2,15.94,2.87,8,41
2002,Michigan,michigan,Big Ten,P5,10,3,13.44,6.82,13,4
2002,Penn State,penn-state,Big Ten,P5,9,4,14.59,3.98,11,22
2002,Purdue,purdue,Big Ten,P5,7,6,7.59,2.44,33,48
2002,Illinois,illinois,Big Ten,P5,5,7,2.56,2.89,57,40
