year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2012,Florida State,florida-state,ACC,P5,12,2,13.56,-0.66,14,63
2012,Clemson,clemson,ACC,P5,11,2,14.75,1.14,11,49
2012,North Carolina State,north-carolina-state,ACC,P5,7,6,1.46,-0.77,64,64
2012,Wake Forest,wake-forest,ACC,P5,5,7,-6.2,1.05,90,50
2012,Maryland,maryland,ACC,P5,4,8,-6.59,-0.26,91,59
2012,Boston College,boston-college,ACC,P5,2,10,-6.74,2.01,93,45
2012,North Carolina,north-carolina,ACC,P5,8,4,4.52,-2.98,51,80
2012,Miami (FL),miami-fl,ACC,P5,7,5,4.07,2.32,52,42
2012,Georgia Tech,georgia-tech,ACC,P5,7,7,5.18,2.89,47,40
2012,Virginia Tech,virginia-tech,ACC,P5,7,6,3.13,2.21,57,44
2012,Duke,duke,ACC,P5,6,7,-0.28,1.72,68,47
2012,Virginia,virginia,ACC,P5,4,8,-3.84,0.99,82,51
2012,Kansas State,kansas-state,Big 12,P5,11,2,16.92,5.3,7,17
2012,Oklahoma,oklahoma,Big 12,P5,10,3,14.32,6.17,12,7
2012,Texas,texas,Big 12,P5,9,4,11.18,5.57,18,13
2012,Oklahoma State,oklahoma-state,Big 12,P5,8,5,13.5,4.96,15,22
2012,Baylor,baylor,Big 12,P5,8,5,11.22,5.07,17,21
2012,Texas Tech,texas-tech,Big 12,P5,8,5,6.33,3.02,37,37
2012,Texas Christian,texas-christian,Big 12,P5,7,6,7.49,4.87,35,23
2012,West Virginia,west-virginia,Big 12,P5,7,6,4.03,4.34,54,29
2012,Iowa State,iowa-state,Big 12,P5,6,7,5.4,5.48,46,15
2012,Kansas,kansas,Big 12,P5,1,11,-6.7,6.22,92,6
2012,Louisville,louisville,Big East,P5,11,2,5.88,-1.96,44,73
2012,Cincinnati,cincinnati,Big East,P5,10,3,8.71,-3.37,31,86
2012,Rutgers,rutgers,Big East,P5,9,4,3.91,-2.55,55,77
2012,Syracuse,syracuse,Big East,P5,8,5,6.27,0.81,40,55
2012,Pitt,pittsburgh,Big East,P5,6,7,2.05,-0.64,62,62
2012,Connecticut,connecticut,Big East,P5,5,7,-5.35,-2.6,85,78
2012,Temple,temple,Big East,P5,4,7,-7.52,-1.15,97,67
2012,South Florida,south-florida,Big East,P5,3,9,-6.13,0.79,89,56
2012,Wisconsin,wisconsin,Big Ten,P5,8,6,9.77,2.91,24,39
2012,Ohio State,ohio-state,Big Ten,P5,12,0,13.81,0.89,13,54
2012,Penn State,penn-state,Big Ten,P5,8,4,9.7,0.53,25,57
2012,Purdue,purdue,Big Ten,P5,6,7,-1.58,0.96,72,53
2012,Indiana,indiana,Big Ten,P5,4,8,-5.53,-0.61,86,60
2012,Illinois,illinois,Big Ten,P5,2,10,-10.35,2.56,107,41
2012,Nebraska,nebraska,Big Ten,P5,10,4,9.79,4.22,23,30
2012,Michigan,michigan,Big Ten,P5,8,5,10.01,3.85,21,33
2012,Northwestern,northwestern,Big Ten,P5,10,3,8.97,0.97,28,52
2012,Michigan State,michigan-state,Big Ten,P5,7,6,6.21,3.75,42,34
2012,Minnesota,minnesota,Big Ten,P5,6,7,-3.25,0.13,78,58
2012,Iowa,iowa,Big Ten,P5,4,8,-2.62,1.63,76,48
2012,UCF,central-florida,Conference USA,G5,10,4,6.65,-3.78,36,97
2012,East Carolina,east-carolina,Conference USA,G5,8,5,-4.23,-4.92,83,112
2012,Marshall,marshall,Conference USA,G5,5,7,-6.04,-4.87,88,111
2012,Memphis,memphis,Conference USA,G5,4,8,-11.09,-5.34,109,115
2012,UAB,alabama-birmingham,Conference USA,G5,3,9,-11.66,-3.07,110,82
2012,Southern Mississippi,southern-mississippi,Conference USA,G5,0,12,-18.04,-1.29,122,69
2012,Tulsa,tulsa,Conference USA,G5,11,3,6.24,-2.34,41,76
2012,SMU,southern-methodist,Conference USA,G5,7,6,1.64,-1.59,63,71
2012,Rice,rice,Conference USA,G5,7,6,-3.52,-4.83,80,110
2012,Houston,houston,Conference USA,G5,5,7,-5.54,-3.54,87,92
2012,UTEP,texas-el-paso,Conference USA,G5,3,9,-9.29,-1.46,103,70
2012,Tulane,tulane,Conference USA,G5,2,10,-14.23,-1.81,115,72
2012,Notre Dame,notre-dame,FBS Independents,P5,12,1,16.98,6.14,6,8
2012,BYU,brigham-young,FBS Independents,P5,8,5,8.77,-0.61,29,61
2012,Navy,navy,FBS Independents,P5,8,5,-1.76,-2.61,74,79
2012,Army,army,FBS Independents,P5,2,10,-14.23,-4.23,116,101
2012,Kent State,kent-state,Mid-American,G5,11,3,2.75,-6.39,58,119
2012,Bowling Green,bowling-green-state,Mid-American,G5,8,5,-0.27,-6.11,67,117
2012,Ohio,ohio,Mid-American,G5,9,4,-2.75,-8.06,77,123
2012,Buffalo,buffalo,Mid-American,G5,4,8,-8.78,-3.36,101,85
2012,Miami (OH),miami-oh,Mid-American,G5,4,8,-11.7,-3.45,111,87
2012,Massachusetts,massachusetts,Mid-American,G5,1,11,-20.97,-3.55,124,93
2012,Akron,akron,Mid-American,G5,1,11,-15.31,-4.31,119,104
2012,Northern Illinois,northern-illinois,Mid-American,G5,12,2,4.64,-7.5,50,122
2012,Ball State,ball-state,Mid-American,G5,9,4,-1.6,-3.52,73,91
2012,Toledo,toledo,Mid-American,G5,9,4,-0.18,-4.18,66,98
2012,Central Michigan,central-michigan,Mid-American,G5,7,6,-7.91,-6.76,98,120
2012,Western Michigan,western-michigan,Mid-American,G5,4,8,-9.54,-7.04,104,121
