year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2022,Clemson,clemson,ACC,P5,11,3,13.59,3.3,12,42
2022,Florida State,florida-state,ACC,P5,10,3,14.77,3.38,11,40
2022,Louisville,louisville,ACC,P5,8,5,10.44,4.59,21,25
2022,North Carolina State,north-carolina-state,ACC,P5,8,5,6.75,3.36,34,41
2022,Syracuse,syracuse,ACC,P5,7,6,6.41,3.8,37,34
2022,Wake Forest,wake-forest,ACC,P5,8,5,8.98,3.21,24,43
2022,Boston College,boston-college,ACC,P5,3,9,-5.67,3.58,96,38
2022,North Carolina,north-carolina,ACC,P5,9,5,5.52,1.95,45,57
2022,Duke,duke,ACC,P5,9,4,7.39,-1.84,32,77
2022,Pitt,pittsburgh,ACC,P5,9,4,7.8,0.8,30,62
2022,Georgia Tech,georgia-tech,ACC,P5,5,7,-3.29,4.55,84,27
2022,Miami (FL),miami-fl,ACC,P5,5,7,-2.91,0.68,81,66
2022,Virginia,virginia,ACC,P5,3,7,-5.85,1.45,100,58
2022,Virginia Tech,virginia-tech,ACC,P5,3,8,-6.78,-0.96,102,73
2022,Tulane,tulane,American Athletic,G5_top,12,2,11.53,0.39,19,68
2022,Cincinnati,cincinnati,American Athletic,G5_top,9,4,5.85,-1.0,42,74
2022,UCF,central-florida,American Athletic,G5_top,9,5,5.74,0.74,43,64
2022,Houston,houston,American Athletic,G5_top,8,5,3.8,0.8,56,63
2022,SMU,southern-methodist,American Athletic,G5_top,7,6,3.69,1.39,57,59
2022,East Carolina,east-carolina,American Athletic,G5_top,8,5,4.41,-0.82,51,72
2022,Navy,navy,American Athletic,G5_top,4,8,-2.56,0.94,79,61
2022,Memphis,memphis,American Athletic,G5_top,7,6,4.14,-1.17,53,75
2022,Tulsa,tulsa,American Athletic,G5_top,5,7,-4.42,-1.59,90,76
2022,Temple,temple,American Athletic,G5_top,3,9,-7.72,-2.39,107,81
2022,South Florida,south-florida,American Athletic,G5_top,1,11,-10.11,1.97,116,56
2022,Kansas State,kansas-state,Big 12,P5,10,4,16.16,7.95,8,2
2022,Texas Christian,texas-christian,Big 12,P5,13,2,16.65,7.45,7,4
2022,Texas,texas,Big 12,P5,8,5,15.92,8.16,9,1
2022,Texas Tech,texas-tech,Big 12,P5,8,5,9.68,6.45,23,8
