year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2006,Wake Forest,wake-forest,ACC,P5,11,3,7.95,1.1,30,46
2006,Boston College,boston-college,ACC,P5,10,3,9.96,0.58,22,56
2006,Maryland,maryland,ACC,P5,9,4,2.7,1.01,52,48
2006,Clemson,clemson,ACC,P5,8,5,8.19,0.65,28,54
2006,Florida State,florida-state,ACC,P5,7,6,6.19,2.19,36,32
2006,North Carolina State,north-carolina-state,ACC,P5,3,9,-4.11,0.64,79,55
2006,Georgia Tech,georgia-tech,ACC,P5,9,5,6.5,1.64,34,39
2006,Virginia Tech,virginia-tech,ACC,P5,10,3,12.47,0.16,16,63
2006,Virginia,virginia,ACC,P5,5,7,-2.5,0.42,69,59
2006,Miami (FL),miami-fl,ACC,P5,7,6,3.02,0.4,50,60
2006,North Carolina,north-carolina,ACC,P5,3,9,-7.54,2.46,94,30
2006,Duke,duke,ACC,P5,0,12,-14.98,2.36,112,31
2006,Nebraska,nebraska,Big 12,P5,9,5,8.92,1.99,26,35
2006,Missouri,missouri,Big 12,P5,8,5,8.15,-0.09,29,66
2006,Kansas State,kansas-state,Big 12,P5,7,6,-0.07,1.32,60,40
2006,Kansas,kansas,Big 12,P5,6,6,0.53,-1.64,59,81
2006,Colorado,colorado,Big 12,P5,2,10,-6.18,0.99,87,49
2006,Iowa State,iowa-state,Big 12,P5,4,8,-9.91,0.17,100,62
2006,Oklahoma,oklahoma,Big 12,P5,11,3,12.75,2.83,15,29
2006,Texas,texas,Big 12,P5,10,3,12.18,0.57,17,57
2006,Texas A&M,texas-am,Big 12,P5,9,4,6.53,0.99,33,50
2006,Texas Tech,texas-tech,Big 12,P5,8,5,4.2,0.43,46,58
2006,Oklahoma State,oklahoma-state,Big 12,P5,7,6,6.04,1.12,37,43
2006,Baylor,baylor,Big 12,P5,4,8,-4.62,1.88,80,36
2006,Louisville,louisville,Big East,P5,12,1,19.94,2.94,2,28
2006,Rutgers,rutgers,Big East,P5,11,2,12.88,1.11,14,44
2006,West Virginia,west-virginia,Big East,P5,11,2,16.8,2.1,6,33
2006,South Florida,south-florida,Big East,P5,9,4,5.94,0.25,38,61
2006,Cincinnati,cincinnati,Big East,P5,8,5,5.29,3.29,44,27
2006,Pitt,pittsburgh,Big East,P5,6,6,4.57,1.23,45,41
2006,Connecticut,connecticut,Big East,P5,4,8,-3.02,3.48,73,26
2006,Syracuse,syracuse,Big East,P5,4,8,-2.08,4.34,67,20
2006,Ohio State,ohio-state,Big Ten,P5,12,1,18.76,2.07,5,34
2006,Wisconsin,wisconsin,Big Ten,P5,12,1,11.97,-2.88,18,89
2006,Michigan,michigan,Big Ten,P5,11,2,16.66,4.35,7,19
2006,Penn State,penn-state,Big Ten,P5,9,4,6.89,0.97,31,51
2006,Purdue,purdue,Big Ten,P5,8,6,-0.61,-0.68,64,69
2006,Minnesota,minnesota,Big Ten,P5,6,7,1.45,1.84,57,37
2006,Indiana,indiana,Big Ten,P5,5,7,-3.53,1.05,76,47
2006,Iowa,iowa,Big Ten,P5,6,7,1.86,0.93,56,52
2006,Northwestern,northwestern,Big Ten,P5,4,8,-7.39,0.11,92,64
2006,Michigan State,michigan-state,Big Ten,P5,4,8,-3.14,1.11,74,45
2006,Illinois,illinois,Big Ten,P5,2,10,-5.87,1.13,86,42
2006,Southern Mississippi,southern-mississippi,Conference USA,G5,9,5,3.65,-1.49,47,77
2006,East Carolina,east-carolina,Conference USA,G5,7,6,-0.6,-1.06,63,72
2006,Marshall,marshall,Conference USA,G5,5,7,-4.98,-2.57,82,85
2006,UCF,central-florida,Conference USA,G5,4,8,-7.16,-1.24,90,73
2006,UAB,alabama-birmingham,Conference USA,G5,3,9,-7.28,-1.61,91,78
2006,Memphis,memphis,Conference USA,G5,2,10,-10.33,-2.67,102,87
2006,Houston,houston,Conference USA,G5,10,4,5.4,-2.89,43,90
2006,Rice,rice,Conference USA,G5,7,6,-3.89,-1.35,78,76
2006,Tulsa,tulsa,Conference USA,G5,8,5,2.64,-3.13,53,91
2006,SMU,southern-methodist,Conference USA,G5,6,6,-5.13,-5.55,83,105
2006,UTEP,texas-el-paso,Conference USA,G5,5,7,-7.78,-4.2,96,97
2006,Tulane,tulane,Conference USA,G5,4,8,-9.91,0.09,101,65
2006,Notre Dame,notre-dame,FBS Independents,P5,10,3,11.32,3.56,19,25
2006,Navy,navy,FBS Independents,P5,9,4,2.58,-4.42,54,99
2006,Army,army,FBS Independents,P5,3,9,-11.37,-2.79,107,88
2006,Temple,temple,FBS Independents,P5,1,11,-17.9,-0.4,118,68
2006,Ohio,ohio,Mid-American,G5,9,5,-4.89,-6.03,81,113
2006,Kent State,kent-state,Mid-American,G5,6,6,-10.47,-9.14,103,119
2006,Akron,akron,Mid-American,G5,5,7,-9.7,-6.7,99,116
2006,Bowling Green,bowling-green-state,Mid-American,G5,4,8,-14.87,-7.37,111,118
2006,Miami (OH),miami-oh,Mid-American,G5,2,10,-13.85,-6.02,110,112
2006,Buffalo,buffalo,Mid-American,G5,2,10,-16.89,-3.48,116,94
2006,Central Michigan,central-michigan,Mid-American,G5,10,4,2.35,-5.15,55,103
2006,Western Michigan,western-michigan,Mid-American,G5,8,5,-2.77,-5.77,71,107
2006,Northern Illinois,northern-illinois,Mid-American,G5,7,6,-2.33,-5.79,68,108
2006,Ball State,ball-state,Mid-American,G5,5,7,-5.52,-6.43,84,115
2006,Toledo,toledo,Mid-American,G5,5,7,-10.99,-6.91,104,117
2006,Eastern Michigan,eastern-michigan,Mid-American,G5,1,11,-17.6,-5.43,117,104
2006,BYU,brigham-young,Mountain West,G5_top,11,2,15.21,-1.33,9,74
2006,Texas Christian,texas-christian,Mountain West,G5_top,11,2,9.27,-3.88,25,96
2006,Utah,utah,Mountain West,G5_top,8,5,3.32,-1.61,49,79
2006,Wyoming,wyoming,Mountain West,G5_top,6,6,-0.41,-1.33,61,75
2006,New Mexico,new-mexico,Mountain West,G5_top,6,7,-3.75,-2.29,77,83
2006,Air Force,air-force,Mountain West,G5_top,4,8,-2.94,0.81,72,53
2006,San Diego State,san-diego-state,Mountain West,G5_top,3,9,-11.03,-1.03,105,71
2006,Colorado State,colorado-state,Mountain West,G5_top,4,8,-7.43,-2.34,93,84
2006,Nevada-Las Vegas,nevada-las-vegas,Mountain West,G5_top,2,10,-12.14,-0.89,109,70
2006,USC,southern-california,Pac-10,P5,11,2,20.36,7.9,1,2
2006,California,california,Pac-10,P5,10,3,16.36,4.74,8,16
2006,Oregon State,oregon-state,Pac-10,P5,10,4,9.67,4.88,23,12
2006,UCLA,ucla,Pac-10,P5,7,6,8.71,6.25,27,7
2006,Arizona State,arizona-state,Pac-10,P5,7,6,6.28,4.43,35,18
2006,Oregon,oregon,Pac-10,P5,7,6,5.94,5.55,39,9
2006,Arizona,arizona,Pac-10,P5,6,6,5.84,7.01,40,3
2006,Washington State,washington-state,Pac-10,P5,6,6,5.81,5.4,41,10
2006,Washington,washington,Pac-10,P5,5,7,2.81,6.39,51,6
2006,Stanford,stanford,Pac-10,P5,1,11,-8.73,7.93,98,1
2006,Florida,florida,SEC,P5,13,1,19.66,6.95,3,4
2006,Tennessee,tennessee,SEC,P5,9,4,14.15,6.92,11,5
2006,Georgia,georgia,SEC,P5,9,4,10.21,3.75,21,23
2006,Kentucky,kentucky,SEC,P5,8,5,6.65,5.88,32,8
2006,South Carolina,south-carolina,SEC,P5,8,5,9.67,4.75,24,15
2006,Vanderbilt,vanderbilt,SEC,P5,4,8,1.17,3.67,58,24
2006,Arkansas,arkansas,SEC,P5,10,4,13.12,5.05,13,11
2006,Auburn,auburn,SEC,P5,11,2,13.51,3.81,12,22
2006,LSU,louisiana-state,SEC,P5,11,2,18.86,4.78,4,14
2006,Alabama,alabama,SEC,P5,6,7,5.64,4.03,42,21
2006,Ole Miss,mississippi,SEC,P5,4,8,-1.74,4.59,65,17
2006,Mississippi State,mississippi-state,SEC,P5,3,9,-2.64,4.86,70,13
2006,Troy,troy,Sun Belt,G5_top,8,5,-3.44,-5.97,75,111
2006,Middle Tennessee State,middle-tennessee-state,Sun Belt,G5_top,7,6,-1.87,-3.25,66,92
2006,Arkansas State,arkansas-state,Sun Belt,G5_top,6,6,-11.13,-5.88,106,109
2006,Florida Atlantic,florida-atlantic,Sun Belt,G5_top,5,7,-8.67,-4.92,97,100
2006,Louisiana,louisiana-lafayette,Sun Belt,G5_top,6,6,-7.72,-5.89,95,110
2006,Louisiana-Monroe,louisiana-monroe,Sun Belt,G5_top,4,8,-6.28,-4.95,88,101
2006,North Texas,north-texas,Sun Belt,G5_top,3,9,-16.06,-6.15,114,114
2006,Florida International,florida-international,Sun Belt,G5_top,0,12,-19.23,-4.39,119,98
2006,Boise State,boise-state,WAC,G5,13,0,14.65,-2.58,10,86
2006,Hawaii,hawaii,WAC,G5,11,3,10.71,-3.29,20,93
2006,San Jose State,san-jose-state,WAC,G5,9,4,-0.49,-4.95,62,102
2006,Nevada,nevada,WAC,G5,8,5,3.45,-3.7,48,95
2006,Fresno State,fresno-state,WAC,G5,4,8,-5.76,-0.09,85,67
2006,Idaho,idaho,WAC,G5,4,8,-11.37,-1.71,108,82
