year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2008,Florida State,florida-state,ACC,P5,9,4,10.67,2.67,19,38
2008,Boston College,boston-college,ACC,P5,9,5,6.72,2.15,33,42
2008,Maryland,maryland,ACC,P5,8,5,2.96,1.73,49,47
2008,Wake Forest,wake-forest,ACC,P5,8,5,7.45,4.68,28,8
2008,Clemson,clemson,ACC,P5,7,6,6.97,2.51,31,40
2008,North Carolina State,north-carolina-state,ACC,P5,6,7,1.41,3.57,59,24
2008,Virginia Tech,virginia-tech,ACC,P5,10,4,8.14,2.43,25,41
2008,Georgia Tech,georgia-tech,ACC,P5,9,4,6.78,1.7,32,48
2008,North Carolina,north-carolina,ACC,P5,8,5,7.9,2.67,27,39
2008,Miami (FL),miami-fl,ACC,P5,7,6,4.85,3.62,40,22
2008,Virginia,virginia,ACC,P5,5,7,1.4,4.57,60,9
2008,Duke,duke,ACC,P5,4,8,-0.39,3.28,67,26
2008,Missouri,missouri,Big 12,P5,10,4,13.11,4.54,11,10
2008,Nebraska,nebraska,Big 12,P5,9,4,10.92,3.69,18,21
2008,Kansas,kansas,Big 12,P5,8,5,9.23,4.0,22,16
2008,Colorado,colorado,Big 12,P5,5,7,-1.07,4.1,71,15
2008,Kansas State,kansas-state,Big 12,P5,5,7,-3.39,0.78,76,56
2008,Iowa State,iowa-state,Big 12,P5,2,10,-7.8,1.11,97,54
2008,Oklahoma,oklahoma,Big 12,P5,12,2,24.79,6.72,2,2
2008,Texas,texas,Big 12,P5,12,1,23.98,6.05,3,3
2008,Texas Tech,texas-tech,Big 12,P5,11,2,15.46,3.0,7,32
2008,Oklahoma State,oklahoma-state,Big 12,P5,9,4,13.09,3.78,12,20
2008,Baylor,baylor,Big 12,P5,4,8,2.59,5.68,51,4
2008,Texas A&M,texas-am,Big 12,P5,4,8,-5.38,4.12,87,14
2008,Cincinnati,cincinnati,Big East,P5,11,3,6.03,-0.19,36,62
2008,Pitt,pittsburgh,Big East,P5,9,4,8.87,3.17,24,28
2008,West Virginia,west-virginia,Big East,P5,9,4,7.09,0.09,29,59
