year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2011,Clemson,clemson,ACC,P5,10,4,6.54,1.18,31,42
2011,Florida State,florida-state,ACC,P5,9,4,11.22,0.38,18,57
2011,Wake Forest,wake-forest,ACC,P5,6,7,-0.66,1.11,69,46
2011,North Carolina State,north-carolina-state,ACC,P5,8,5,2.57,-1.97,52,80
2011,Boston College,boston-college,ACC,P5,4,8,-4.61,0.89,84,50
2011,Maryland,maryland,ACC,P5,2,10,-8.22,2.62,102,35
2011,Virginia Tech,virginia-tech,ACC,P5,11,3,8.21,0.21,27,60
2011,Georgia Tech,georgia-tech,ACC,P5,8,5,3.4,-1.29,48,70
2011,Virginia,virginia,ACC,P5,8,5,0.14,-0.79,65,69
2011,North Carolina,north-carolina,ACC,P5,7,6,3.63,1.17,47,43
2011,Miami (FL),miami-fl,ACC,P5,6,6,5.17,0.67,38,54
2011,Duke,duke,ACC,P5,3,9,-7.34,0.24,98,59
2011,Oklahoma State,oklahoma-state,Big 12,P5,12,1,24.14,7.67,3,3
2011,Kansas State,kansas-state,Big 12,P5,10,3,11.45,6.84,17,7
2011,Baylor,baylor,Big 12,P5,10,3,13.83,5.91,12,10
2011,Oklahoma,oklahoma,Big 12,P5,10,3,19.75,7.82,4,2
2011,Missouri,missouri,Big 12,P5,8,5,11.08,6.16,19,9
2011,Texas,texas,Big 12,P5,8,5,12.16,7.16,15,6
2011,Texas A&M,texas-am,Big 12,P5,7,6,13.36,7.29,14,5
2011,Iowa State,iowa-state,Big 12,P5,6,7,2.12,7.35,54,4
2011,Texas Tech,texas-tech,Big 12,P5,5,7,1.88,5.55,56,12
2011,Kansas,kansas,Big 12,P5,2,10,-4.75,8.42,85,1
2011,Cincinnati,cincinnati,Big East,P5,10,3,7.34,-0.74,28,68
2011,West Virginia,west-virginia,Big East,P5,10,3,8.65,0.96,26,49
2011,Louisville,louisville,Big East,P5,7,6,2.38,0.07,53,62
2011,Rutgers,rutgers,Big East,P5,9,4,6.42,-0.12,33,64
2011,Pitt,pittsburgh,Big East,P5,6,7,1.09,1.17,61,44
