year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2020,Clemson,clemson,ACC,P5,10,2,16.82,1.07,8,53
2020,Notre Dame,notre-dame,ACC,P5,10,2,11.32,1.23,19,51
2020,North Carolina State,north-carolina-state,ACC,P5,8,4,0.35,-1.57,62,72
2020,Boston College,boston-college,ACC,P5,6,5,-0.04,-0.59,68,61
2020,Wake Forest,wake-forest,ACC,P5,4,5,-0.33,0.12,71,57
2020,Louisville,louisville,ACC,P5,4,7,-0.78,-1.87,74,78
2020,Florida State,florida-state,ACC,P5,3,6,-8.87,-1.54,100,70
2020,Syracuse,syracuse,ACC,P5,1,10,-12.92,1.53,111,49
2020,Miami (FL),miami-fl,ACC,P5,8,3,6.56,1.47,33,50
2020,North Carolina,north-carolina,ACC,P5,8,4,7.03,-1.55,30,71
2020,Pitt,pittsburgh,ACC,P5,6,5,1.54,-1.19,50,67
2020,Virginia Tech,virginia-tech,ACC,P5,5,6,1.51,1.78,51,46
2020,Virginia,virginia,ACC,P5,5,5,-0.39,-0.09,72,59
2020,Georgia Tech,georgia-tech,ACC,P5,3,7,-7.85,0.05,95,58
2020,Duke,duke,ACC,P5,2,9,-12.88,-1.6,110,73
2020,Cincinnati,cincinnati,American Athletic,G5_top,9,1,14.92,-1.28,10,68
2020,Tulsa,tulsa,American Athletic,G5_top,6,3,5.2,0.42,40,56
2020,Memphis,memphis,American Athletic,G5_top,8,3,-1.29,-5.56,76,106
2020,UCF,central-florida,American Athletic,G5_top,6,4,5.92,-1.78,36,76
2020,SMU,southern-methodist,American Athletic,G5_top,7,3,0.06,-6.14,66,111
2020,Houston,houston,American Athletic,G5_top,3,5,-2.84,0.53,84,55
2020,Navy,navy,American Athletic,G5_top,3,7,-10.08,-0.88,104,65
2020,Tulane,tulane,American Athletic,G5_top,6,6,-0.71,-4.3,73,102
2020,East Carolina,east-carolina,American Athletic,G5_top,3,6,-6.43,-1.98,93,79
2020,Temple,temple,American Athletic,G5_top,1,6,-19.25,-3.83,122,94
2020,South Florida,south-florida,American Athletic,G5_top,1,8,-14.39,-1.28,115,69
2020,Oklahoma,oklahoma,Big 12,P5,9,2,17.62,3.71,6,39
2020,Iowa State,iowa-state,Big 12,P5,9,3,13.93,5.43,12,27
2020,Oklahoma State,oklahoma-state,Big 12,P5,8,3,10.46,4.92,21,30
2020,Texas,texas,Big 12,P5,7,3,11.95,3.75,17,38
2020,Texas Christian,texas-christian,Big 12,P5,6,4,7.41,3.71,28,40
