year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2015,Clemson,clemson,ACC,P5,14,1,18.88,5.21,3,10
2015,Florida State,florida-state,ACC,P5,10,3,13.59,1.97,12,51
2015,Louisville,louisville,ACC,P5,8,5,6.69,3.23,39,42
2015,North Carolina State,north-carolina-state,ACC,P5,7,6,5.06,0.83,51,62
2015,Syracuse,syracuse,ACC,P5,4,8,-1.51,3.91,79,34
2015,Wake Forest,wake-forest,ACC,P5,3,9,-3.7,3.55,89,39
2015,Boston College,boston-college,ACC,P5,3,9,-1.73,2.11,80,49
2015,North Carolina,north-carolina,ACC,P5,11,3,12.73,1.09,16,61
2015,Pitt,pittsburgh,ACC,P5,8,5,6.32,3.78,45,37
2015,Miami (FL),miami-fl,ACC,P5,8,5,5.69,3.38,49,40
2015,Duke,duke,ACC,P5,8,5,2.94,-0.75,57,73
2015,Virginia Tech,virginia-tech,ACC,P5,7,6,5.04,1.65,53,53
2015,Virginia,virginia,ACC,P5,4,8,-0.95,4.14,76,32
2015,Georgia Tech,georgia-tech,ACC,P5,3,9,1.43,4.6,65,19
2015,Temple,temple,American Athletic,G5_top,10,4,6.45,-1.63,44,79
2015,South Florida,south-florida,American Athletic,G5_top,8,5,5.88,-0.74,48,72
2015,Cincinnati,cincinnati,American Athletic,G5_top,7,6,1.19,-0.65,67,70
2015,Connecticut,connecticut,American Athletic,G5_top,6,7,-3.45,-1.37,86,76
2015,East Carolina,east-carolina,American Athletic,G5_top,5,7,-1.27,-0.93,78,74
2015,UCF,central-florida,American Athletic,G5_top,0,12,-18.85,-0.68,126,71
2015,Houston,houston,American Athletic,G5_top,13,1,12.32,-3.04,17,90
2015,Navy,navy,American Athletic,G5_top,11,2,11.14,-1.55,21,78
2015,Memphis,memphis,American Athletic,G5_top,9,4,6.55,0.16,41,67
2015,Tulsa,tulsa,American Athletic,G5_top,6,7,-4.74,-2.05,91,85
2015,Tulane,tulane,American Athletic,G5_top,3,9,-13.59,-2.42,115,86
2015,SMU,southern-methodist,American Athletic,G5_top,2,10,-12.22,0.62,112,64
2015,Oklahoma,oklahoma,Big 12,P5,11,2,17.84,4.38,5,25
2015,Texas Christian,texas-christian,Big 12,P5,11,2,11.39,1.39,19,57
2015,Oklahoma State,oklahoma-state,Big 12,P5,10,3,8.5,1.57,33,54
2015,Baylor,baylor,Big 12,P5,10,3,13.08,0.31,14,66
2015,West Virginia,west-virginia,Big 12,P5,8,5,7.59,2.21,35,48
2015,Texas Tech,texas-tech,Big 12,P5,7,6,3.04,2.89,56,47
2015,Texas,texas,Big 12,P5,5,7,1.09,4.84,69,14
2015,Kansas State,kansas-state,Big 12,P5,6,7,1.83,2.06,62,50
2015,Iowa State,iowa-state,Big 12,P5,3,9,-2.14,4.28,82,27
2015,Kansas,kansas,Big 12,P5,0,12,-15.22,3.87,119,35
2015,Michigan State,michigan-state,Big Ten,P5,12,2,15.36,6.58,7,5
2015,Ohio State,ohio-state,Big Ten,P5,12,1,20.73,3.81,2,36
2015,Michigan,michigan,Big Ten,P5,10,3,16.34,4.57,6,20
2015,Penn State,penn-state,Big Ten,P5,7,6,6.46,4.77,43,16
2015,Indiana,indiana,Big Ten,P5,6,7,2.26,3.03,59,46
2015,Rutgers,rutgers,Big Ten,P5,4,8,-3.57,3.1,88,43
2015,Maryland,maryland,Big Ten,P5,3,9,-2.08,6.83,81,3
2015,Iowa,iowa,Big Ten,P5,12,2,10.8,1.51,24,55
2015,Northwestern,northwestern,Big Ten,P5,10,3,7.3,4.23,37,30
2015,Wisconsin,wisconsin,Big Ten,P5,10,3,10.85,1.39,23,58
2015,Nebraska,nebraska,Big Ten,P5,6,7,6.56,3.94,40,33
2015,Minnesota,minnesota,Big Ten,P5,6,7,2.46,4.84,58,15
2015,Illinois,illinois,Big Ten,P5,5,7,1.18,3.26,68,41
2015,Purdue,purdue,Big Ten,P5,2,10,-5.92,4.41,95,24
2015,Western Kentucky,western-kentucky,Conference USA,G5,12,2,9.62,-4.02,28,98
2015,Marshall,marshall,Conference USA,G5,10,3,1.84,-8.24,61,128
2015,Middle Tennessee State,middle-tennessee-state,Conference USA,G5,7,6,-2.71,-4.09,85,99
2015,Florida International,florida-international,Conference USA,G5,5,7,-8.79,-8.12,101,127
2015,Old Dominion,old-dominion,Conference USA,G5,5,7,-15.4,-6.9,120,120
2015,Florida Atlantic,florida-atlantic,Conference USA,G5,3,9,-11.49,-4.74,107,107
2015,Charlotte,charlotte,Conference USA,G5,2,10,-19.53,-7.03,127,121
2015,Southern Mississippi,southern-mississippi,Conference USA,G5,9,5,2.13,-6.22,60,117
2015,Louisiana Tech,louisiana-tech,Conference USA,G5,9,4,1.83,-5.94,63,114
2015,Rice,rice,Conference USA,G5,5,7,-11.63,-7.05,108,122
2015,UTEP,texas-el-paso,Conference USA,G5,5,7,-15.45,-8.11,121,126
2015,UTSA,texas-san-antonio,Conference USA,G5,3,9,-14.27,-6.27,117,119
2015,North Texas,north-texas,Conference USA,G5,1,11,-20.99,-2.91,128,89
2015,Notre Dame,notre-dame,FBS Independents,P5,10,3,14.33,6.1,10,6
2015,BYU,brigham-young,FBS Independents,P5,9,4,7.51,0.66,36,63
2015,Army,army,FBS Independents,P5,2,10,-11.82,-5.9,109,113
2015,Bowling Green,bowling-green-state,Mid-American,G5,10,4,8.09,-0.34,34,69
2015,Akron,akron,Mid-American,G5,8,5,-0.37,-4.44,74,102
2015,Ohio,ohio,Mid-American,G5,8,5,-0.46,-3.69,75,95
2015,Buffalo,buffalo,Mid-American,G5,5,7,-5.4,-4.56,94,103
2015,Kent State,kent-state,Mid-American,G5,3,9,-11.29,-1.96,105,84
2015,Massachusetts,massachusetts,Mid-American,G5,3,9,-10.76,-2.6,104,87
2015,Miami (OH),miami-oh,Mid-American,G5,3,9,-12.02,-3.11,110,91
2015,Toledo,toledo,Mid-American,G5,10,2,10.16,-1.51,25,77
2015,Western Michigan,western-michigan,Mid-American,G5,8,5,4.77,-0.08,55,68
2015,Northern Illinois,northern-illinois,Mid-American,G5,8,6,1.55,-1.95,64,83
2015,Central Michigan,central-michigan,Mid-American,G5,7,6,0.59,-1.8,71,81
2015,Ball State,ball-state,Mid-American,G5,3,9,-10.66,-1.16,103,75
2015,Eastern Michigan,eastern-michigan,Mid-American,G5,1,11,-18.16,-3.83,125,97
2015,Air Force,air-force,Mountain West,G5_top,8,6,0.36,-3.14,72,92
2015,Boise State,boise-state,Mountain West,G5_top,9,4,6.03,-4.66,47,105
2015,Colorado State,colorado-state,Mountain West,G5_top,7,6,-5.09,-5.78,93,111
2015,New Mexico,new-mexico,Mountain West,G5_top,7,6,-6.61,-5.84,97,112
2015,Utah State,utah-state,Mountain West,G5_top,6,7,-1.23,-1.92,77,82
2015,Wyoming,wyoming,Mountain West,G5_top,2,10,-17.03,-3.53,124,94
2015,San Diego State,san-diego-state,Mountain West,G5_top,11,3,6.26,-6.02,46,115
2015,Nevada,nevada,Mountain West,G5_top,7,6,-6.26,-6.11,96,116
2015,San Jose State,san-jose-state,Mountain West,G5_top,6,7,-4.98,-4.37,92,100
2015,Fresno State,fresno-state,Mountain West,G5_top,3,9,-12.12,-1.79,111,80
2015,Nevada-Las Vegas,nevada-las-vegas,Mountain West,G5_top,3,9,-10.42,-3.33,102,93
2015,Hawaii,hawaii,Mountain West,G5_top,3,10,-14.63,-2.71,118,88
2015,Stanford,stanford,Pac-12,P5,12,2,18.81,5.17,4,11
2015,Oregon,oregon,Pac-12,P5,9,4,11.05,4.74,22,17
2015,Washington State,washington-state,Pac-12,P5,9,4,6.55,1.48,42,56
2015,California,california,Pac-12,P5,8,5,9.54,4.92,29,13
2015,Washington,washington,Pac-12,P5,7,6,9.73,4.27,26,28
2015,Oregon State,oregon-state,Pac-12,P5,2,10,-7.66,5.51,100,8
2015,Utah,utah,Pac-12,P5,10,3,11.39,4.32,20,26
2015,USC,southern-california,Pac-12,P5,8,6,11.53,7.39,18,2
2015,UCLA,ucla,Pac-12,P5,8,5,8.73,4.27,32,29
2015,Arizona State,arizona-state,Pac-12,P5,6,7,4.91,4.45,54,22
2015,Arizona,arizona,Pac-12,P5,7,6,1.27,1.12,66,60
2015,Colorado,colorado,Pac-12,P5,4,9,-3.51,1.33,87,59
2015,Florida,florida,SEC,P5,10,4,9.65,4.94,27,12
2015,Georgia,georgia,SEC,P5,10,3,8.98,1.83,31,52
2015,Tennessee,tennessee,SEC,P5,9,4,13.94,3.1,11,44
2015,Kentucky,kentucky,SEC,P5,5,7,-4.09,0.41,90,65
2015,Vanderbilt,vanderbilt,SEC,P5,4,8,-2.27,4.23,84,31
2015,Missouri,missouri,SEC,P5,5,7,0.2,3.04,73,45
2015,South Carolina,south-carolina,SEC,P5,3,9,-2.18,3.74,83,38
2015,Alabama,alabama,SEC,P5,14,1,23.72,7.46,1,1
2015,Ole Miss,mississippi,SEC,P5,10,3,14.42,4.42,9,23
2015,LSU,louisiana-state,SEC,P5,9,3,15.04,6.79,8,4
2015,Arkansas,arkansas,SEC,P5,8,5,12.79,6.02,15,7
2015,Mississippi State,mississippi-state,SEC,P5,9,4,13.59,4.74,13,18
2015,Texas A&M,texas-am,SEC,P5,8,5,9.4,4.47,30,21
2015,Auburn,auburn,SEC,P5,7,6,7.16,5.39,38,9
2015,Appalachian State,appalachian-state,Sun Belt,G5_top,11,2,5.05,-7.34,52,124
2015,Georgia Southern,georgia-southern,Sun Belt,G5_top,9,4,5.27,-5.42,50,110
2015,Arkansas State,arkansas-state,Sun Belt,G5_top,9,4,0.74,-6.26,70,118
2015,Georgia State,georgia-state,Sun Belt,G5_top,6,7,-7.61,-7.15,99,123
2015,South Alabama,south-alabama,Sun Belt,G5_top,5,7,-11.31,-3.72,106,96
2015,Idaho,idaho,Sun Belt,G5_top,4,8,-13.24,-4.57,114,104
2015,Louisiana,louisiana-lafayette,Sun Belt,G5_top,4,8,-12.46,-7.38,113,125
2015,Troy,troy,Sun Belt,G5_top,4,8,-7.26,-4.68,98,106
2015,New Mexico State,new-mexico-state,Sun Belt,G5_top,3,9,-15.79,-5.29,122,109
2015,Texas State,texas-state,Sun Belt,G5_top,3,9,-14.24,-5.16,116,108
2015,Louisiana-Monroe,louisiana-monroe,Sun Belt,G5_top,2,11,-16.72,-4.42,123,101
