year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2017,Clemson,clemson,ACC,P5,12,2,20.62,6.84,6,10
2017,North Carolina State,north-carolina-state,ACC,P5,9,4,12.17,5.55,19,21
2017,Louisville,louisville,ACC,P5,8,5,9.67,3.75,28,44
2017,Wake Forest,wake-forest,ACC,P5,8,5,11.42,6.03,22,17
2017,Boston College,boston-college,ACC,P5,7,6,9.39,7.08,29,7
2017,Florida State,florida-state,ACC,P5,7,6,8.07,5.76,33,20
2017,Syracuse,syracuse,ACC,P5,4,8,1.96,5.8,60,19
2017,Miami (FL),miami-fl,ACC,P5,10,3,14.98,6.29,12,13
2017,Virginia Tech,virginia-tech,ACC,P5,9,4,10.56,2.41,25,55
2017,Georgia Tech,georgia-tech,ACC,P5,5,6,6.38,5.93,39,18
2017,Duke,duke,ACC,P5,7,6,7.23,3.23,37,49
2017,Virginia,virginia,ACC,P5,6,7,-0.06,3.55,71,46
2017,Pitt,pittsburgh,ACC,P5,5,7,1.21,4.13,63,34
2017,North Carolina,north-carolina,ACC,P5,3,9,-1.82,4.1,76,36
2017,UCF,central-florida,American Athletic,G5_top,13,0,16.9,-0.8,10,75
2017,South Florida,south-florida,American Athletic,G5_top,10,2,7.27,-5.56,36,106
2017,Temple,temple,American Athletic,G5_top,7,6,-0.81,-1.57,73,79
2017,Cincinnati,cincinnati,American Athletic,G5_top,4,8,-9.59,-0.76,107,72
2017,Connecticut,connecticut,American Athletic,G5_top,3,9,-12.29,-0.12,114,67
2017,East Carolina,east-carolina,American Athletic,G5_top,3,9,-12.37,-0.04,116,66
2017,Memphis,memphis,American Athletic,G5_top,10,3,8.52,-0.79,31,74
2017,Houston,houston,American Athletic,G5_top,7,5,2.63,-0.7,58,71
2017,Navy,navy,American Athletic,G5_top,7,6,5.69,2.69,41,54
2017,SMU,southern-methodist,American Athletic,G5_top,7,6,0.71,-0.76,67,73
2017,Tulane,tulane,American Athletic,G5_top,5,7,-2.24,-0.57,79,70
2017,Tulsa,tulsa,American Athletic,G5_top,2,10,-7.46,0.04,99,65
2017,Oklahoma,oklahoma,Big 12,P5,12,2,19.05,5.26,8,25
2017,Texas Christian,texas-christian,Big 12,P5,11,3,14.71,3.92,13,39
2017,Oklahoma State,oklahoma-state,Big 12,P5,10,3,13.09,3.02,17,52
2017,Iowa State,iowa-state,Big 12,P5,8,5,9.77,3.85,26,41
2017,Kansas State,kansas-state,Big 12,P5,8,5,5.84,1.07,40,64
2017,Texas,texas,Big 12,P5,7,6,8.21,3.91,32,40
2017,West Virginia,west-virginia,Big 12,P5,7,6,4.84,3.07,44,50
2017,Texas Tech,texas-tech,Big 12,P5,6,7,3.01,4.01,56,37
2017,Baylor,baylor,Big 12,P5,1,11,-6.47,4.12,96,35
2017,Kansas,kansas,Big 12,P5,1,11,-12.35,4.23,115,33
2017,Ohio State,ohio-state,Big Ten,P5,12,2,21.82,7.89,3,5
2017,Penn State,penn-state,Big Ten,P5,11,2,21.62,6.31,4,12
2017,Michigan State,michigan-state,Big Ten,P5,10,3,13.83,7.68,15,6
2017,Michigan,michigan,Big Ten,P5,8,5,13.44,6.98,16,9
2017,Rutgers,rutgers,Big Ten,P5,4,8,-2.27,6.15,80,16
2017,Indiana,indiana,Big Ten,P5,5,7,4.74,4.9,45,29
2017,Maryland,maryland,Big Ten,P5,4,8,1.03,9.78,64,1
2017,Wisconsin,wisconsin,Big Ten,P5,13,1,22.61,6.18,1,15
2017,Northwestern,northwestern,Big Ten,P5,10,3,11.36,5.13,23,26
2017,Iowa,iowa,Big Ten,P5,8,5,14.66,8.74,14,3
2017,Purdue,purdue,Big Ten,P5,7,6,9.74,6.21,27,14
2017,Nebraska,nebraska,Big Ten,P5,4,8,1.52,8.18,61,4
2017,Minnesota,minnesota,Big Ten,P5,5,7,3.36,4.78,53,30
2017,Illinois,illinois,Big Ten,P5,2,10,-7.87,5.38,100,23
2017,Florida Atlantic,florida-atlantic,Conference USA,G5,11,3,8.01,-4.78,34,97
2017,Western Kentucky,western-kentucky,Conference USA,G5,6,7,-10.99,-9.61,111,127
2017,Florida International,florida-international,Conference USA,G5,8,5,-6.75,-6.36,98,111
2017,Marshall,marshall,Conference USA,G5,8,5,-1.13,-6.44,75,112
2017,Middle Tennessee State,middle-tennessee-state,Conference USA,G5,7,6,-6.48,-6.86,97,116
2017,Old Dominion,old-dominion,Conference USA,G5,5,7,-13.95,-6.53,120,114
