year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2001,Maryland,maryland,ACC,P5,10,2,10.78,1.36,20,58
2001,Florida State,florida-state,ACC,P5,8,4,12.79,6.45,11,8
2001,North Carolina,north-carolina,ACC,P5,8,5,7.52,4.29,33,30
2001,Georgia Tech,georgia-tech,ACC,P5,8,5,7.1,1.95,34,53
2001,Clemson,clemson,ACC,P5,7,5,4.34,1.59,47,56
2001,North Carolina State,north-carolina-state,ACC,P5,7,5,6.38,1.05,36,59
2001,Wake Forest,wake-forest,ACC,P5,6,5,0.24,0.87,62,61
2001,Virginia,virginia,ACC,P5,5,7,-1.91,2.76,74,45
2001,Duke,duke,ACC,P5,0,11,-16.57,3.16,107,40
2001,Colorado,colorado,Big 12,P5,10,3,13.44,6.44,10,9
2001,Nebraska,nebraska,Big 12,P5,11,2,16.48,4.33,6,29
2001,Iowa State,iowa-state,Big 12,P5,7,5,4.12,1.45,49,57
2001,Kansas State,kansas-state,Big 12,P5,6,6,9.63,5.63,25,17
2001,Missouri,missouri,Big 12,P5,4,7,-1.86,3.69,73,34
2001,Kansas,kansas,Big 12,P5,3,8,-5.89,5.75,86,15
2001,Texas,texas,Big 12,P5,11,2,18.67,2.21,4,50
2001,Oklahoma,oklahoma,Big 12,P5,11,2,15.39,2.16,7,51
2001,Texas A&M,texas-am,Big 12,P5,8,4,5.96,2.63,41,46
2001,Texas Tech,texas-tech,Big 12,P5,7,5,8.56,2.81,27,44
2001,Oklahoma State,oklahoma-state,Big 12,P5,4,7,-0.13,3.41,63,36
2001,Baylor,baylor,Big 12,P5,3,8,-6.84,2.25,88,49
2001,Miami (FL),miami-fl,Big East,P5,12,0,26.17,5.09,1,22
2001,Syracuse,syracuse,Big East,P5,10,3,13.54,6.23,9,12
2001,Boston College,boston-college,Big East,P5,8,4,10.27,3.19,21,39
2001,Virginia Tech,virginia-tech,Big East,P5,8,4,12.16,2.16,16,52
2001,Pitt,pittsburgh,Big East,P5,7,5,6.31,2.97,38,41
2001,Temple,temple,Big East,P5,4,7,-4.63,2.46,84,48
2001,West Virginia,west-virginia,Big East,P5,3,8,-0.82,4.45,66,28
2001,Rutgers,rutgers,Big East,P5,2,9,-13.02,0.16,101,63
2001,Illinois,illinois,Big Ten,P5,10,2,12.71,3.79,12,32
2001,Michigan,michigan,Big Ten,P5,8,4,12.65,5.73,13,16
2001,Ohio State,ohio-state,Big Ten,P5,7,5,8.56,3.73,28,33
2001,Iowa,iowa,Big Ten,P5,7,5,9.96,3.21,22,38
2001,Purdue,purdue,Big Ten,P5,6,6,2.95,4.95,52,24
2001,Indiana,indiana,Big Ten,P5,5,6,4.15,5.51,48,18
2001,Penn State,penn-state,Big Ten,P5,5,6,5.21,7.39,43,3
2001,Michigan State,michigan-state,Big Ten,P5,7,5,6.26,2.93,39,42
2001,Wisconsin,wisconsin,Big Ten,P5,5,7,2.91,5.33,53,20
